"node_id","monster_id","param_key","value_type","value"
"string","string","string","enum","string"
"ariel-b-trait-3-cooldown-multiplier","ariel","multiplier","float","0.8"
"ariel-b-trait-1-shield-amount-multiplier","ariel","multiplier","float","1.3"
"ariel-b-trait-2-duration-bonus","ariel","bonus_seconds","float","2"
"ariel-b-master-1-shield-amount-multiplier","ariel","multiplier","float","1.5"
"ariel-b-master-1-ailment-resistance","ariel","bonus","float","0.3"
"ariel-b-shielded-holy-trait5-effect-target","ariel","target_side","enum","AllAllies"
"ariel-b-shielded-holy-trait5-effect-target","ariel","target_selection","enum","Owner"
"ariel-b-shielded-holy-trait5-effect-target","ariel","target_shape","enum","Battlefield"
"ariel-b-shielded-holy-trait5-effect-target","ariel","center_mode","enum","Caster"
"ariel-b-shielded-holy-trait5-effect-target","ariel","visual_anchor_mode","enum","AppliedTargets"
"ariel-b-shielded-holy-trait5-condition-status","ariel","status_id","status_id","shield"
"ariel-b-shielded-holy-trait5-condition-status","ariel","target_side","enum","AllAllies"
"ariel-b-shielded-holy-trait5-condition-status","ariel","min_stacks","int","1"
"ariel-b-shielded-holy-trait5-effect-lifetime","ariel","duration_seconds","float","5"
"ariel-b-shielded-holy-trait5-status-damage-bonus-rate","ariel","bonus","float","0.12"
"ariel-b-shielded-holy-trait5-status-damage-bonus-rate","ariel","attribute","enum","Holy"
