"node_id","monster_id","owner_kind","owner_id","target_skill_id","node_kind","handler_id","sort_order","enabled_by_default","requires_active_choice_id","excludes_active_choice_id","requires_passive_skill_id","excludes_passive_skill_id","runtime_support_state","runtime_support_notes"
"string","string","enum","string","string","enum","string","int","bool","choice_id","choice_id","skill_id","skill_id","string","string"
"ariel-b-trait-3-cooldown-multiplier","ariel","Choice","ariel-b-trait-3","ariel-b","Action","CooldownMultiplier","200","","","","","","",""
"ariel-b-trait-1-shield-amount-multiplier","ariel","Choice","ariel-b-trait-1","","Action","ShieldAmountMultiplier","200","","","","","","",""
"ariel-b-trait-2-duration-bonus","ariel","Choice","ariel-b-trait-2","","Action","DurationBonus","200","","","","","","",""
"ariel-b-master-1-shield-amount-multiplier","ariel","Choice","ariel-b-master-1","","Action","ShieldAmountMultiplier","200","","","","","","",""
"ariel-b-master-1-ailment-resistance","ariel","Choice","ariel-b-master-1","","Action","StatusAilmentResistanceBonus","200","","","","","","",""
"ariel-b-shielded-holy-trait5-status-modifier","ariel","Effect","ariel-b-shielded-holy-trait5","ariel-b","Action","StatusModifier","10","","ariel-b-trait-5","","","","RuntimeImplemented",""
"ariel-b-shielded-holy-trait5-effect-target","ariel","Effect","ariel-b-shielded-holy-trait5","ariel-b","Action","EffectTarget","11","","","","","","",""
"ariel-b-shielded-holy-trait5-condition-status","ariel","Effect","ariel-b-shielded-holy-trait5","ariel-b","Action","ConditionStatus","13","","","","","","",""
"ariel-b-shielded-holy-trait5-effect-lifetime","ariel","Effect","ariel-b-shielded-holy-trait5","ariel-b","Action","EffectLifetime","14","","","","","","",""
"ariel-b-shielded-holy-trait5-status-damage-bonus-rate","ariel","Effect","ariel-b-shielded-holy-trait5","ariel-b","Action","StatusDamageBonusRate","15","","","","","","",""
