"node_type_id","param_order","param_key","value_type","required","allowed_values"
"string","int","string","enum","bool","string"
"ApplyShield","1","base_damage","float","false",""
"ApplyShield","2","spell_power_coefficient","float","false",""
"AdditionalProjectileBonus","1","bonus","int","true",""
"ApplyStatus","1","status_id","status_id","true",""
"BranchProjectile","1","chance_bonus","float","false",""
"BranchProjectile","2","count","int","false",""
"BranchProjectile","3","damage_multiplier","float","false",""
"BranchProjectile","4","search_radius","float","false",""
"ConditionalDamageMultiplier","1","status_id","status_id","true",""
"ConditionalDamageMultiplier","2","min_stacks","int","true",""
"ConditionalDamageMultiplier","3","multiplier","float","true",""
"ConditionAnyStatus","1","status_ids","string","true",""
"ConditionAnyStatus","2","target_side","enum","false",""
"ConditionAnyStatus","3","source_skill_id","skill_id","false",""
"ConditionAnyStatus","4","min_stacks","int","false",""
"ConditionSkillAttribute","1","attribute","enum","true",""
"ConditionStatus","1","status_id","status_id","true",""
"ConditionStatus","2","target_side","enum","false",""
"ConditionStatus","3","source_skill_id","skill_id","false",""
"ConditionStatus","4","min_stacks","int","false",""
"CooldownMultiplier","1","multiplier","float","true",""
"CountStatusDamageMultiplier","1","status_id","status_id","true",""
"CountStatusDamageMultiplier","2","target_side","enum","true",""
"CountStatusDamageMultiplier","3","amount_per_count","float","true",""
"DamageMultiplier","1","multiplier","float","true",""
"DurationBonus","1","bonus_seconds","float","true",""
"DurationMultiplier","1","multiplier","float","true",""
"EffectDamage","1","attribute","enum","true",""
"EffectDamage","2","base_damage","float","false",""
"EffectDamage","3","spell_power_coefficient","float","false",""
"EffectDamage","4","damage_multiplier","float","false",""
"EffectDamage","5","radius","float","false",""
"EffectExtendStatusDuration","1","status_id","status_id","true",""
"EffectLifetime","1","duration_seconds","float","true",""
"EffectTarget","1","target_side","enum","false",""
"EffectTarget","2","target_selection","enum","false",""
"EffectTarget","3","target_shape","enum","false",""
"EffectTarget","4","center_mode","enum","false",""
"EffectTarget","5","visual_anchor_mode","enum","false",""
"EffectTarget","6","effect_timing","enum","false",""
"EffectTarget","7","delay_seconds","float","false",""
"EffectTarget","8","apply_once","bool","false",""
"EffectVisual","1","skill_effect_prefab_path","asset_path","true",""
"HitTargetCountBonus","1","bonus","int","true",""
"MagazineBonus","1","bonus","int","true",""
"PierceBonus","1","bonus","int","true",""
"RadiusMultiplier","1","multiplier","float","true",""
"RecastZone","1","source_skill_id","skill_id","true",""
"RecastZone","2","delay_seconds","float","true",""
"RecastZone","3","duration_seconds","float","true",""
"RecastZone","4","radius_multiplier","float","true",""
"RecastZone","5","inherit_snapshot","bool","true",""
"RecastZone","6","max_generation","int","true",""
"ReloadTimeMultiplier","1","multiplier","float","true",""
"RepeatPerTarget","1","repeat_count","int","true",""
"RepeatPerTarget","2","repeat_interval_seconds","float","true",""
"RepeatPerTarget","3","repeat_damage_multiplier","float","true",""
"ShieldAmountMultiplier","1","multiplier","float","true",""
"StatusActionSpeedBonus","1","bonus","float","true",""
"StatusActionSpeedBonus","2","status_id","status_id","false",""
"StatusAilmentResistanceBonus","1","bonus","float","true",""
"StatusConditionalDamageTakenBonus","1","source_status_id","status_id","true",""
"StatusConditionalDamageTakenBonus","2","bonus","float","true",""
"StatusConditionalStatusChanceBonus","1","status_ids","string","true",""
"StatusConditionalStatusChanceBonus","2","bonus","float","true",""
"StatusCriticalChanceBonus","1","bonus","float","true",""
"StatusCriticalDamageTakenBonus","1","bonus","float","true",""
"StatusFilteredDeployment","1","status_id","status_id","true",""
"StatusFilteredDeployment","2","min_stacks","int","true",""
"StatusMaxStacksBonus","1","status_id","status_id","true",""
"StatusMaxStacksBonus","2","bonus","int","true",""
"StatusStackAmountBonus","1","status_id","status_id","true",""
"StatusStackAmountBonus","2","bonus","int","true",""
"StatusStackAmountSet","1","status_id","status_id","true",""
"StatusStackAmountSet","2","value","int","true",""
"StatusDamageBonusRate","1","bonus","float","true",""
"StatusDamageBonusRate","2","attribute","enum","false",""
"StatusDamageTakenBonus","1","bonus","float","true",""
"StatusDurationBonus","1","status_id","status_id","true",""
"StatusDurationBonus","2","bonus_seconds","float","true",""
"StatusElementDamageTakenBonus","1","bonus","float","true",""
"StatusElementDamageTakenBonus","2","attribute","enum","false",""
"StatusFlatElementResistReduction","1","bonus","float","true",""
"StatusFlatElementResistReduction","2","attribute","enum","false",""
"StatusShieldReceivedBonus","1","bonus","float","true",""
"StatusSpellPowerBonus","1","bonus","float","true",""
"ShotIntervalMultiplier","1","multiplier","float","true",""
"TargetStatusStackDamage","1","status_id","status_id","true",""
"TargetStatusStackDamage","2","max_stacks","int","false",""
"TargetStatusStackDamage","3","base_damage","float","false",""
"TargetStatusStackDamage","4","attack_power_coefficient","float","false",""
"TargetStatusStackDamage","5","spell_power_coefficient","float","false",""
"TargetStatusStackDamage","6","multiplier","float","false",""
"TargetStatusStackDamageRateBonus","1","status_id","status_id","true",""
"TargetStatusStackDamageRateBonus","2","bonus_rate_per_stack","float","true",""
"TriggerProcChanceBonus","1","trigger_id","string","true",""
"TriggerProcChanceBonus","2","bonus","float","true",""
