"node_type_id","handler_id","node_kind","runtime_support_state","runtime_support_notes"
"string","string","enum","string","string"
"ApplyShield","ApplyShield","Action","",""
"ApplyStatus","ApplyStatus","Action","",""
"AdditionalProjectileBonus","AdditionalProjectileBonus","Action","",""
"BranchProjectile","BranchProjectile","Action","",""
"ConditionalDamageMultiplier","ConditionalDamageMultiplier","DamageModifier","",""
"ConditionAnyStatus","ConditionAnyStatus","Action","",""
"ConditionSkillAttribute","ConditionSkillAttribute","Action","",""
"ConditionStatus","ConditionStatus","Action","",""
"CooldownMultiplier","CooldownMultiplier","Action","",""
"CountStatusDamageMultiplier","CountStatusDamageMultiplier","DamageModifier","",""
"DamageMultiplier","DamageMultiplier","DamageModifier","",""
"DurationBonus","DurationBonus","Action","",""
"DurationMultiplier","DurationMultiplier","Action","",""
"EffectDamage","EffectDamage","Action","",""
"EffectExtendStatusDuration","EffectExtendStatusDuration","Action","",""
"EffectLifetime","EffectLifetime","Action","",""
"EffectTarget","EffectTarget","Action","",""
"EffectVisual","EffectVisual","Action","",""
"HitTargetCountBonus","HitTargetCountBonus","Action","",""
"MagazineBonus","MagazineBonus","Action","",""
"PierceBonus","PierceBonus","Action","",""
"RadiusMultiplier","RadiusMultiplier","Action","",""
"RecastZone","RecastZone","OnExpireAction","",""
"ReloadTimeMultiplier","ReloadTimeMultiplier","Action","",""
"RepeatPerTarget","RepeatPerTarget","Action","",""
"ShieldAmountMultiplier","ShieldAmountMultiplier","Action","",""
"StatusActionSpeedBonus","StatusActionSpeedBonus","Action","",""
"StatusAilmentResistanceBonus","StatusAilmentResistanceBonus","Action","",""
"StatusConditionalDamageTakenBonus","StatusConditionalDamageTakenBonus","Action","",""
"StatusConditionalStatusChanceBonus","StatusConditionalStatusChanceBonus","Action","",""
"StatusCriticalChanceBonus","StatusCriticalChanceBonus","Action","",""
"StatusCriticalDamageTakenBonus","StatusCriticalDamageTakenBonus","Action","",""
"StatusFilteredDeployment","StatusFilteredDeployment","Action","",""
"StatusMaxStacksBonus","StatusMaxStacksBonus","Action","",""
"StatusStackAmountBonus","StatusStackAmountBonus","Action","",""
"StatusStackAmountSet","StatusStackAmountSet","Action","",""
"StatusDamageBonusRate","StatusDamageBonusRate","Action","",""
"StatusDamageTakenBonus","StatusDamageTakenBonus","Action","",""
"StatusDurationBonus","StatusDurationBonus","Action","",""
"StatusElementDamageTakenBonus","StatusElementDamageTakenBonus","Action","",""
"StatusFlatElementResistReduction","StatusFlatElementResistReduction","Action","",""
"StatusModifier","StatusModifier","Action","",""
"StatusShieldReceivedBonus","StatusShieldReceivedBonus","Action","",""
"StatusSpellPowerBonus","StatusSpellPowerBonus","Action","",""
"ShotIntervalMultiplier","ShotIntervalMultiplier","Action","",""
"TargetStatusStackDamage","TargetStatusStackDamage","DamageModifier","",""
"TargetStatusStackDamageRateBonus","TargetStatusStackDamageRateBonus","DamageModifier","",""
"TriggerProcChanceBonus","TriggerProcChanceBonus","Action","",""
