"node_id","param_key","value_type","value"
"string","string","enum","string"
"rin-d-execute-condition","threshold","float","0.3"
"rin-d-execute-condition","reject_if_missing_target","bool","true"
"rin-d-execute-multiplier","threshold_source","string","TargetHealthRatioCondition"
"rin-d-execute-multiplier","multiplier","float","1.8"
"rin-d-boss-multiplier","predicate","enum","is_boss"
"rin-d-boss-multiplier","multiplier","float","1"
"rin-d-kill-cooldown-refund","ratio","float","0.35"
"ariel-a-trait-1-damage-multiplier","multiplier","float","1.25"
"ariel-a-master-2-holy-exposure-element-damage-taken","bonus","float","0.15"
"ariel-b-trait-3-cooldown-multiplier","multiplier","float","0.8"
"ariel-c-trait-4-radius-multiplier","multiplier","float","1.25"
"rin-d-trait-2-execute-threshold-bonus","threshold_bonus","float","0.1"
"rin-d-master-1-execute-crit-bonus","crit_chance_bonus","float","0.5"
"rin-d-master-1-kill-reset","requires_execute","bool","true"
"rin-d-trait-5-boss-multiplier","predicate","enum","is_boss"
"rin-d-trait-5-boss-multiplier","multiplier","float","1.25"
"rin-d-trait-3-kill-refund-bonus","ratio_bonus","float","0.2"
"rin-a-master-2-additional-damage","chance","float","1"
"rin-a-master-2-additional-damage","multiplier","float","0.4"
"rin-a-master-2-additional-damage","attribute","enum","Lightning"
"rin-a-master-2-additional-damage","target","string","HitTarget"
"rin-a-master-2-chain-damage","hit_count","int","3"
"rin-a-master-2-chain-damage","max_targets","int","2"
"rin-a-master-2-chain-damage","radius","float","4.5"
"rin-a-master-2-chain-damage","multiplier","float","0.4"
"rin-a-master-2-chain-damage","attribute","enum","Lightning"
"vega-d-master-1-damage-multiplier","multiplier","float","0.65"
"vega-d-master-1-repeat-per-target","repeat_count","int","2"
"vega-d-master-1-repeat-per-target","repeat_interval_seconds","float","0.15"
"vega-d-master-1-repeat-per-target","repeat_damage_multiplier","float","0.6"
"vega-e-trait-4-conditional-crit","status_id","status_id","name-mark"
"vega-e-trait-4-conditional-crit","crit_chance_bonus","float","0.35"
"vega-e-trait-4-conditional-crit","min_stacks","int","1"
"vega-e-trait-5-redistribute-consumed-status","status_id","status_id","name-mark"
"vega-e-trait-5-redistribute-consumed-status","ratio","float","0.25"
"vega-e-trait-5-redistribute-consumed-status","radius","float","5"
"vega-e-trait-5-redistribute-consumed-status","target_count","int","3"
"ariel-a-trait-2-magazine-bonus","bonus","int","3"
"ariel-a-trait-3-reload-time-multiplier","multiplier","float","0.8"
"ariel-a-trait-4-pierce-bonus","bonus","int","1"
"ariel-a-trait-5-count-shield-damage","status_id","status_id","shield"
"ariel-a-trait-5-count-shield-damage","target_side","enum","AllAllies"
"ariel-a-trait-5-count-shield-damage","amount_per_count","float","0.06"
"ariel-b-trait-1-shield-amount-multiplier","multiplier","float","1.3"
"ariel-b-trait-2-duration-bonus","bonus_seconds","float","2"
"ariel-b-master-1-shield-amount-multiplier","multiplier","float","1.5"
"ariel-b-master-1-ailment-resistance","bonus","float","0.3"
"ariel-c-trait-1-damage-multiplier","multiplier","float","1.25"
"ariel-c-trait-3-duration-bonus","bonus_seconds","float","2"
"ariel-d-trait-1-damage-multiplier","multiplier","float","1.3"
"ariel-d-trait-2-status-element-damage-taken","bonus","float","0.08"
"ariel-d-trait-3-duration-bonus","bonus_seconds","float","3"
"ariel-d-trait-4-damage-multiplier","multiplier","float","0.8"
"ariel-d-trait-5-shield-source-damage-taken","source_status_id","status_id","shield"
"ariel-d-trait-5-shield-source-damage-taken","bonus","float","0.1"
"ariel-e-trait-1-damage-multiplier","multiplier","float","1.3"
"ariel-e-trait-3-cooldown-multiplier","multiplier","float","0.8"
"ariel-e-trait-5-duration-bonus","bonus_seconds","float","3"
"ariel-e-master-2-damage-multiplier","multiplier","float","1.7"
"ariel-f-trait-1-holy-damage-bonus","bonus","float","0.06"
"ariel-f-trait-2-magazine-bonus","bonus","int","2"
"ariel-h-trait-1-blessed-holy-damage-bonus","bonus","float","0.07"
"ariel-h-trait-2-blessed-action-speed-bonus","bonus","float","0.05"
"ariel-h-trait-3-duration-bonus","bonus_seconds","float","2"
"ariel-i-trait-1-exposure-damage-taken-bonus","bonus","float","0.05"
"ariel-i-trait-2-cooldown-multiplier","multiplier","float","0.8"
"ariel-j-trait-2-shielded-holy-damage-bonus","bonus","float","0.10"
"ariel-j-trait-3-cooldown-multiplier","multiplier","float","0.85"
"ariel-c-trait-2-blessing-action-speed","status_id","status_id","blessing"
"ariel-c-trait-2-blessing-action-speed","bonus","float","0.06"
"ariel-e-trait-2-shield-amount-multiplier","multiplier","Float","1.3"
"ariel-e-master-2-shield-amount-multiplier","multiplier","Float","0.7"
"ariel-g-trait-1-shield-received-bonus","bonus","float","0.08"
"ariel-g-trait-2-start-shield-amount-multiplier","multiplier","float","1.4"
"ariel-j-trait-1-after-e-action-speed-bonus","bonus","float","0.07"
"ariel-d-trait-4-hit-target-count-bonus","bonus","int","1"
"ariel-d-master-1-status-critical-damage-taken","bonus","float","0.25"
