"node_id","monster_id","param_key","value_type","value"
"string","string","string","enum","string"
"ariel-f-trait-1-holy-damage-bonus","ariel","bonus","float","0.06"
"ariel-f-trait-2-magazine-bonus","ariel","bonus","int","2"
"ariel-h-trait-1-blessed-holy-damage-bonus","ariel","bonus","float","0.07"
"ariel-h-trait-2-blessed-action-speed-bonus","ariel","bonus","float","0.05"
"ariel-h-trait-3-duration-bonus","ariel","status_id","status_id","blessing"
"ariel-h-trait-3-duration-bonus","ariel","bonus_seconds","float","2"
"ariel-i-trait-1-exposure-damage-taken-bonus","ariel","bonus","float","0.05"
"ariel-i-trait-2-cooldown-multiplier","ariel","multiplier","float","0.8"
"ariel-j-trait-2-shielded-holy-damage-bonus","ariel","bonus","float","0.10"
"ariel-j-trait-3-cooldown-multiplier","ariel","multiplier","float","0.85"
"ariel-g-trait-1-shield-received-bonus","ariel","bonus","float","0.08"
"ariel-g-trait-2-start-shield-amount-multiplier","ariel","multiplier","float","1.4"
"ariel-j-trait-1-after-e-action-speed-bonus","ariel","bonus","float","0.07"
"ariel-j-after-e-action-speed-effect-target","ariel","target_side","enum","AllAllies"
"ariel-j-after-e-action-speed-effect-lifetime","ariel","duration_seconds","float","5"
"ariel-j-after-e-action-speed-status-action-speed-bonus","ariel","bonus","float","0.15"
"ariel-f-party-holy-damage-effect-target","ariel","target_side","enum","AllAllies"
"ariel-f-party-holy-damage-effect-lifetime","ariel","duration_seconds","float","0.5"
"ariel-f-party-holy-damage-status-damage-bonus-rate","ariel","bonus","float","0.12"
"ariel-f-party-holy-damage-status-damage-bonus-rate","ariel","attribute","enum","Holy"
"ariel-f-holy-skill-crit-trait3-effect-target","ariel","target_side","enum","AllAllies"
"ariel-f-holy-skill-crit-trait3-condition-skill-attribute","ariel","attribute","enum","Holy"
"ariel-f-holy-skill-crit-trait3-effect-lifetime","ariel","duration_seconds","float","0.5"
"ariel-f-holy-skill-crit-trait3-status-critical-chance-bonus","ariel","bonus","float","0.08"
"ariel-g-shield-received-effect-target","ariel","target_side","enum","AllAllies"
"ariel-g-shield-received-effect-lifetime","ariel","duration_seconds","float","0.5"
"ariel-g-shield-received-status-shield-received-bonus","ariel","bonus","float","0.18"
"ariel-g-start-shield-apply-shield","ariel","base_damage","float","25"
"ariel-g-start-shield-apply-shield","ariel","spell_power_coefficient","float","0.8"
"ariel-g-start-shield-effect-target","ariel","target_side","enum","AllAllies"
"ariel-g-start-shield-effect-target","ariel","apply_once","bool","true"
"ariel-g-start-shield-effect-lifetime","ariel","duration_seconds","float","9999"
"ariel-g-shielded-holy-trait3-effect-target","ariel","target_side","enum","AllAllies"
"ariel-g-shielded-holy-trait3-condition-status","ariel","status_id","status_id","shield"
"ariel-g-shielded-holy-trait3-condition-status","ariel","target_side","enum","AllAllies"
"ariel-g-shielded-holy-trait3-condition-status","ariel","min_stacks","int","1"
"ariel-g-shielded-holy-trait3-effect-lifetime","ariel","duration_seconds","float","0.5"
"ariel-g-shielded-holy-trait3-status-damage-bonus-rate","ariel","bonus","float","0.10"
"ariel-g-shielded-holy-trait3-status-damage-bonus-rate","ariel","attribute","enum","Holy"
"ariel-h-blessed-holy-damage-speed-effect-target","ariel","target_side","enum","AllAllies"
"ariel-h-blessed-holy-damage-speed-condition-status","ariel","status_id","status_id","blessing"
"ariel-h-blessed-holy-damage-speed-condition-status","ariel","target_side","enum","AllAllies"
"ariel-h-blessed-holy-damage-speed-condition-status","ariel","min_stacks","int","1"
"ariel-h-blessed-holy-damage-speed-effect-lifetime","ariel","duration_seconds","float","0.5"
