"node_id","monster_id","owner_kind","owner_id","target_skill_id","node_kind","handler_id","sort_order","enabled_by_default","requires_active_choice_id","excludes_active_choice_id","requires_passive_skill_id","excludes_passive_skill_id","runtime_support_state","runtime_support_notes"
"string","string","enum","string","string","enum","string","int","bool","choice_id","choice_id","skill_id","skill_id","string","string"
"ariel-f-trait-1-holy-damage-bonus","ariel","Choice","ariel-f-trait-1","","Action","StatusDamageBonusRate","200","","","","","","",""
"ariel-f-trait-2-magazine-bonus","ariel","Choice","ariel-f-trait-2","","Action","MagazineBonus","200","","","","","","",""
"ariel-h-trait-1-blessed-holy-damage-bonus","ariel","Choice","ariel-h-trait-1","","Action","StatusDamageBonusRate","200","","","","","","",""
"ariel-h-trait-2-blessed-action-speed-bonus","ariel","Choice","ariel-h-trait-2","","Action","StatusActionSpeedBonus","200","","","","","","",""
"ariel-h-trait-3-duration-bonus","ariel","Choice","ariel-h-trait-3","","Action","StatusDurationBonus","200","","","","","","",""
"ariel-i-trait-1-exposure-damage-taken-bonus","ariel","Choice","ariel-i-trait-1","","Action","StatusDamageTakenBonus","200","","","","","","",""
"ariel-i-trait-2-cooldown-multiplier","ariel","Choice","ariel-i-trait-2","","Action","CooldownMultiplier","200","","","","","","",""
"ariel-j-trait-2-shielded-holy-damage-bonus","ariel","Choice","ariel-j-trait-2","","Action","StatusDamageBonusRate","200","","","","","","",""
"ariel-j-trait-3-cooldown-multiplier","ariel","Choice","ariel-j-trait-3","","Action","CooldownMultiplier","200","","","","","","",""
"ariel-g-trait-1-shield-received-bonus","ariel","Choice","ariel-g-trait-1","","Action","StatusShieldReceivedBonus","200","","","","","","",""
"ariel-g-trait-2-start-shield-amount-multiplier","ariel","Choice","ariel-g-trait-2","ariel-g","Action","ShieldAmountMultiplier","200","","","","","","",""
"ariel-j-trait-1-after-e-action-speed-bonus","ariel","Choice","ariel-j-trait-1","ariel-j","Action","StatusActionSpeedBonus","200","","","","","","",""
"ariel-j-after-e-action-speed-status-modifier","ariel","Effect","ariel-j-after-e-action-speed","ariel-j","Action","StatusModifier","20","","","","","","RuntimeImplemented",""
"ariel-j-after-e-action-speed-effect-target","ariel","Effect","ariel-j-after-e-action-speed","ariel-j","Action","EffectTarget","21","","","","","","",""
"ariel-j-after-e-action-speed-effect-lifetime","ariel","Effect","ariel-j-after-e-action-speed","ariel-j","Action","EffectLifetime","24","","","","","","",""
"ariel-j-after-e-action-speed-status-action-speed-bonus","ariel","Effect","ariel-j-after-e-action-speed","ariel-j","Action","StatusActionSpeedBonus","25","","","","","","",""
"ariel-f-party-holy-damage-status-modifier","ariel","Effect","ariel-f-party-holy-damage","ariel-f","Action","StatusModifier","10","","","","","","RuntimeImplemented",""
