"node_id","monster_id","param_key","value_type","value"
"string","string","string","enum","string"
"ariel-a-trait-1-damage-multiplier","ariel","multiplier","float","1.25"
"ariel-a-trait-2-magazine-bonus","ariel","bonus","int","3"
"ariel-a-trait-3-reload-time-multiplier","ariel","multiplier","float","0.8"
"ariel-a-trait-4-pierce-bonus","ariel","bonus","int","1"
"ariel-a-trait-5-count-shield-damage","ariel","status_id","status_id","shield"
"ariel-a-trait-5-count-shield-damage","ariel","target_side","enum","AllAllies"
"ariel-a-trait-5-count-shield-damage","ariel","amount_per_count","float","0.06"
"ariel-a-master-2-holy-exposure-on-hit-apply-status","ariel","status_id","status_id","holy-exposure"
"ariel-a-master-2-holy-exposure-on-hit-effect-target","ariel","target_selection","enum","EventTarget"
"ariel-a-master-2-holy-exposure-on-hit-effect-target","ariel","center_mode","enum","EffectTarget"
"ariel-a-master-2-holy-exposure-on-hit-effect-target","ariel","visual_anchor_mode","enum","AppliedTargets"
"rin-a-master-2-additional-damage","rin","chance","float","1"
"rin-a-master-2-additional-damage","rin","multiplier","float","0.4"
"rin-a-master-2-additional-damage","rin","attribute","enum","Lightning"
"rin-a-master-2-additional-damage","rin","target","string","HitTarget"
"rin-a-master-2-chain-damage","rin","hit_count","int","3"
"rin-a-master-2-chain-damage","rin","max_targets","int","2"
"rin-a-master-2-chain-damage","rin","radius","float","4.5"
"rin-a-master-2-chain-damage","rin","multiplier","float","0.4"
"rin-a-master-2-chain-damage","rin","attribute","enum","Lightning"
