"node_id","monster_id","owner_kind","owner_id","target_skill_id","node_kind","handler_id","sort_order","enabled_by_default","requires_active_choice_id","excludes_active_choice_id","requires_passive_skill_id","excludes_passive_skill_id","runtime_support_state","runtime_support_notes"
"string","string","enum","string","string","enum","string","int","bool","choice_id","choice_id","skill_id","skill_id","string","string"
"ariel-a-trait-1-damage-multiplier","ariel","Choice","ariel-a-trait-1","ariel-a","DamageModifier","DamageMultiplier","200","","","","","","",""
"ariel-a-trait-2-magazine-bonus","ariel","Choice","ariel-a-trait-2","","Action","MagazineBonus","200","","","","","","",""
"ariel-a-trait-3-reload-time-multiplier","ariel","Choice","ariel-a-trait-3","","Action","ReloadTimeMultiplier","200","","","","","","",""
"ariel-a-trait-4-pierce-bonus","ariel","Choice","ariel-a-trait-4","","Action","PierceBonus","200","","","","","","",""
"ariel-a-trait-5-count-shield-damage","ariel","Choice","ariel-a-trait-5","","DamageModifier","CountStatusDamageMultiplier","200","","","","","","",""
"ariel-a-master-2-holy-exposure-on-hit-apply-status","ariel","Effect","ariel-a-master-2-holy-exposure-on-hit","ariel-a","Action","ApplyStatus","11","","ariel-a-master-2","","","","RuntimeImplemented",""
"ariel-a-master-2-holy-exposure-on-hit-effect-target","ariel","Effect","ariel-a-master-2-holy-exposure-on-hit","ariel-a","Action","EffectTarget","12","","","","","","",""
"rin-a-master-2-additional-damage","rin","Choice","rin-a-master-2","rin-a","OnHitAction","AdditionalDamage","200","","","","","","",""
"rin-a-master-2-chain-damage","rin","Choice","rin-a-master-2","rin-a","OnHitAction","EveryNthHitChainDamage","210","","","","","","",""
