"node_id","param_key","value_type","value"
"string","string","enum","string"
"rin-d-execute-condition","threshold","float","0.3"
"rin-d-execute-condition","reject_if_missing_target","bool","true"
"rin-d-execute-multiplier","threshold_source","string","TargetHealthRatioCondition"
"rin-d-execute-multiplier","multiplier","float","1.8"
"rin-d-boss-multiplier","predicate","enum","is_boss"
"rin-d-boss-multiplier","multiplier","float","1"
"rin-d-kill-cooldown-refund","ratio","float","0.35"
"rin-d-trait-2-execute-threshold-bonus","threshold_bonus","float","0.1"
"rin-d-master-1-execute-crit-bonus","crit_chance_bonus","float","0.5"
"rin-d-master-1-kill-reset","requires_execute","bool","true"
"rin-d-trait-5-boss-multiplier","predicate","enum","is_boss"
"rin-d-trait-5-boss-multiplier","multiplier","float","1.25"
"rin-d-trait-3-kill-refund-bonus","ratio_bonus","float","0.2"
"rin-a-master-2-additional-damage","chance","float","1"
"rin-a-master-2-additional-damage","multiplier","float","0.4"
"rin-a-master-2-additional-damage","attribute","enum","Lightning"
"rin-a-master-2-additional-damage","target","string","HitTarget"
"rin-a-master-2-chain-damage","hit_count","int","3"
"rin-a-master-2-chain-damage","max_targets","int","2"
"rin-a-master-2-chain-damage","radius","float","4.5"
"rin-a-master-2-chain-damage","multiplier","float","0.4"
"rin-a-master-2-chain-damage","attribute","enum","Lightning"
