"node_id","owner_kind","owner_id","target_skill_id","node_kind","handler_id","sort_order"
"string","enum","string","string","enum","string","int"
"rin-d-execute-condition","Skill","rin-d","rin-d","CastCondition","TargetHealthRatioCondition","100"
"rin-d-execute-multiplier","Skill","rin-d","rin-d","DamageModifier","ExecuteDamageMultiplier","110"
"rin-d-boss-multiplier","Skill","rin-d","rin-d","DamageModifier","TargetPredicateDamageMultiplier","120"
"rin-d-kill-cooldown-refund","Skill","rin-d","rin-d","OnKillAction","CooldownRefund","130"
"rin-d-trait-2-execute-threshold-bonus","Choice","rin-d-trait-2","rin-d","CastCondition","TargetHealthRatioThresholdBonus","200"
"rin-d-master-1-execute-crit-bonus","Choice","rin-d-master-1","rin-d","CritModifier","ExecuteCritChanceBonus","200"
"rin-d-master-1-kill-reset","Choice","rin-d-master-1","rin-d","OnKillAction","CooldownReset","210"
"rin-d-trait-5-boss-multiplier","Choice","rin-d-trait-5","rin-d","DamageModifier","TargetPredicateDamageMultiplier","200"
"rin-d-trait-3-kill-refund-bonus","Choice","rin-d-trait-3","rin-d","OnKillAction","CooldownRefundBonus","200"
"rin-a-master-2-additional-damage","Choice","rin-a-master-2","rin-a","OnHitAction","AdditionalDamage","200"
"rin-a-master-2-chain-damage","Choice","rin-a-master-2","rin-a","OnHitAction","EveryNthHitChainDamage","210"
