"node_id","monster_id","param_key","value_type","value"
"string","string","string","enum","string"
"vega-d-master-1-damage-multiplier","vega","multiplier","float","0.65"
"vega-d-master-1-repeat-per-target","vega","repeat_count","int","2"
"vega-d-master-1-repeat-per-target","vega","repeat_interval_seconds","float","0.15"
"vega-d-master-1-repeat-per-target","vega","repeat_damage_multiplier","float","0.6"
"vega-e-trait-4-conditional-crit","vega","status_id","status_id","name-mark"
"vega-e-trait-4-conditional-crit","vega","crit_chance_bonus","float","0.35"
"vega-e-trait-4-conditional-crit","vega","min_stacks","int","1"
"vega-e-trait-5-redistribute-consumed-status","vega","status_id","status_id","name-mark"
"vega-e-trait-5-redistribute-consumed-status","vega","ratio","float","0.25"
"vega-e-trait-5-redistribute-consumed-status","vega","radius","float","5"
"vega-e-trait-5-redistribute-consumed-status","vega","target_count","int","3"
