"node_id","monster_id","owner_kind","owner_id","target_skill_id","node_kind","handler_id","sort_order","enabled_by_default","requires_active_choice_id","excludes_active_choice_id","requires_passive_skill_id","excludes_passive_skill_id","runtime_support_state","runtime_support_notes"
"string","string","enum","string","string","enum","string","int","bool","choice_id","choice_id","skill_id","skill_id","string","string"
"rin-d-execute-condition","rin","Skill","rin-d","rin-d","CastCondition","TargetHealthRatioCondition","100","","","","","","",""
"rin-d-execute-multiplier","rin","Skill","rin-d","rin-d","DamageModifier","ExecuteDamageMultiplier","110","","","","","","",""
"rin-d-boss-multiplier","rin","Skill","rin-d","rin-d","DamageModifier","TargetPredicateDamageMultiplier","120","","","","","","",""
"rin-d-kill-cooldown-refund","rin","Skill","rin-d","rin-d","OnKillAction","CooldownRefund","130","","","","","","",""
"rin-d-trait-2-execute-threshold-bonus","rin","Choice","rin-d-trait-2","rin-d","CastCondition","TargetHealthRatioThresholdBonus","200","","","","","","",""
"rin-d-master-1-execute-crit-bonus","rin","Choice","rin-d-master-1","rin-d","CritModifier","ExecuteCritChanceBonus","200","","","","","","",""
"rin-d-master-1-kill-reset","rin","Choice","rin-d-master-1","rin-d","OnKillAction","CooldownReset","210","","","","","","",""
"rin-d-trait-5-boss-multiplier","rin","Choice","rin-d-trait-5","rin-d","DamageModifier","TargetPredicateDamageMultiplier","200","","","","","","",""
"rin-d-trait-3-kill-refund-bonus","rin","Choice","rin-d-trait-3","rin-d","OnKillAction","CooldownRefundBonus","200","","","","","","",""
"vega-d-master-1-damage-multiplier","vega","Choice","vega-d-master-1","vega-d","DamageModifier","DamageMultiplier","200","","","","","","",""
"vega-d-master-1-repeat-per-target","vega","Choice","vega-d-master-1","vega-d","Action","RepeatPerTarget","210","","","","","","",""
"vega-e-trait-4-conditional-crit","vega","Choice","vega-e-trait-4","vega-e","CritModifier","TargetStatusCritBonus","200","","","","","","",""
"vega-e-trait-5-redistribute-consumed-status","vega","Choice","vega-e-trait-5","vega-e","OnKillAction","RedistributeConsumedStatus","200","","","","","","",""
