"node_id","param_key","value_type","value"
"string","string","enum","string"
"vega-d-master-1-damage-multiplier","multiplier","float","0.65"
"vega-d-master-1-repeat-per-target","repeat_count","int","2"
"vega-d-master-1-repeat-per-target","repeat_interval_seconds","float","0.15"
"vega-d-master-1-repeat-per-target","repeat_damage_multiplier","float","0.6"
"vega-e-trait-4-conditional-crit","status_id","status_id","name-mark"
"vega-e-trait-4-conditional-crit","crit_chance_bonus","float","0.35"
"vega-e-trait-4-conditional-crit","min_stacks","int","1"
"vega-e-trait-5-redistribute-consumed-status","status_id","status_id","name-mark"
"vega-e-trait-5-redistribute-consumed-status","ratio","float","0.25"
"vega-e-trait-5-redistribute-consumed-status","radius","float","5"
"vega-e-trait-5-redistribute-consumed-status","target_count","int","3"
