"trigger_id","source_skill_id","trigger_event","requires_active_choice_id","excludes_active_choice_id","triggered_skill_id","runtime_kind","sort_order","target_side","target_selection","target_shape","center_mode","attribute","base_damage","attack_power_coefficient","damage_multiplier","damage_source","damage_source_multiplier","tracked_attribute","radius","hit_target_count","repeat_count","skill_effect_prefab_path","proc_chance","internal_cooldown_seconds","require_event_execute","trigger_action","event_skill_id","target_skill_id","triggered_effect_id","condition_status_source_skill_id","trigger_delay_seconds","trigger_every_count","event_source_scope","cooldown_refund_ratio","reload_reduce_ratio"
"id","string","enum:SkillTriggerEvent","string","string","string","enum:SkillRuntimeKind","int","enum:SkillMultiEffectTargetSide","enum:SkillMultiEffectTargetSelection","enum:SkillMultiEffectTargetShape","enum:SkillMultiEffectCenterMode","enum:DamageAttribute","float","float","float","enum:SkillTriggerDamageSource","float","enum:DamageAttribute","float","string","int","asset_path","float","float","bool","enum:SkillTriggerActionKind","string","string","string","string","float","int","string","float","float"
"rin-d-master1-kill-burst","rin-d","OnKill","rin-d-master-1","","rin-d-master-1-kill-burst","SingleAttack","1","Enemy","EventTarget","Circle","EffectTarget","Holy","45","2.4","0.9","Fixed","0","","0","global","1","Assets/Prefab/Skill/Rin/Rin_D_master_1.prefab","","","true","","","","","","","","","",""
"rin-i-execute-hit-rin-e-cooldown-trait3","rin-i","OnOutgoingDamage","rin-i-trait-3","","rin-e","SingleAttack","10","Enemy","EventTarget","Single","EffectTarget","Physical","0","0","1","EventAppliedDamage","","Physical","0","1","1","","1","0","true","CooldownRefund","rin-d","rin-e","","","0","0","owner","0.12",""
"rin-f-followup","rin-f","OnOutgoingDamage","","rin-f-trait-2","rin-f-followup","SingleAttack","10","Enemy","EventTarget","Single","EffectTarget","Physical","0","0","1","EventAppliedDamage","0.35","Physical","0","1","1","Assets/Prefab/Skill/Rin/Rin_F.prefab","1","0","false","SingleAttack","rin-c;rin-d;rin-e","","","","0.3","0","owner","",""
"rin-f-followup-trait2","rin-f","OnOutgoingDamage","rin-f-trait-2","","rin-f-followup-trait2","SingleAttack","10","Enemy","EventTarget","Single","EffectTarget","Physical","0","0","1.15","EventAppliedDamage","0.35","Physical","0","1","1","Assets/Prefab/Skill/Rin/Rin_F.prefab","1","0","false","SingleAttack","rin-c;rin-d;rin-e","","","","0.3","0","owner","",""
"rin-f-followup-lightning-trait3","rin-f","OnOutgoingDamage","rin-f-trait-3","","rin-f-followup-lightning-trait3","SingleAttack","10","Enemy","EventTarget","Single","EffectTarget","Lightning","0","0","1","EventAppliedDamage","0.105","Physical","0","1","1","","1","0","false","SingleAttack","rin-c;rin-d;rin-e","","","","0.3","0","owner","",""
"rin-h-auto-shockwave-base-base","rin-h","OnOutgoingDamage","","rin-h-trait-1;rin-h-trait-2","rin-h-auto-shockwave-base-base","SingleAttack","10","Enemy","Nearest","Circle","NearestEnemy","Physical","28","1.35","0.75","Fixed","0","Physical","1.6","global","1","","1","3","false","SingleAttack","","","","","0","10","all_allies","",""
"rin-h-auto-shockwave-lightning-base-base","rin-h","OnOutgoingDamage","rin-h-trait-3","rin-h-trait-1;rin-h-trait-2","rin-h-auto-shockwave-lightning-base-base","SingleAttack","10","Enemy","Nearest","Circle","NearestEnemy","Lightning","28","1.35","0.225","Fixed","0","Physical","1.6","global","1","","1","3","false","SingleAttack","","","","","0","10","all_allies","",""
"rin-h-auto-shockwave-base-t2","rin-h","OnOutgoingDamage","rin-h-trait-2","rin-h-trait-1","rin-h-auto-shockwave-base-t2","SingleAttack","10","Enemy","Nearest","Circle","NearestEnemy","Physical","28","1.35","0.9","Fixed","0","Physical","1.6","global","1","","1","3","false","SingleAttack","","","","","0","10","all_allies","",""
"rin-h-auto-shockwave-lightning-base-t2","rin-h","OnOutgoingDamage","rin-h-trait-2;rin-h-trait-3","rin-h-trait-1","rin-h-auto-shockwave-lightning-base-t2","SingleAttack","10","Enemy","Nearest","Circle","NearestEnemy","Lightning","28","1.35","0.27","Fixed","0","Physical","1.6","global","1","","1","3","false","SingleAttack","","","","","0","10","all_allies","",""
"rin-h-auto-shockwave-t1-base","rin-h","OnOutgoingDamage","rin-h-trait-1","rin-h-trait-2","rin-h-auto-shockwave-t1-base","SingleAttack","10","Enemy","Nearest","Circle","NearestEnemy","Physical","28","1.35","0.75","Fixed","0","Physical","1.6","global","1","","1","3","false","SingleAttack","","","","","0","8","all_allies","",""
