"trigger_id","source_skill_id","trigger_event","requires_active_choice_id","excludes_active_choice_id","triggered_skill_id","runtime_kind","sort_order","target_side","target_selection","target_shape","center_mode","base_damage","attack_power_coefficient","damage_multiplier","damage_source","tracked_attribute","radius","hit_target_count","repeat_count","skill_effect_prefab_path","proc_chance","internal_cooldown_seconds","trigger_action","event_skill_id","target_skill_id","triggered_effect_id","trigger_delay_seconds","event_source_scope","cooldown_refund_ratio","required_source_status_min_stacks","event_skill_runtime_kinds"
"id","string","enum:SkillTriggerEvent","string","string","string","enum:SkillRuntimeKind","int","enum:SkillMultiEffectTargetSide","enum:SkillMultiEffectTargetSelection","enum:SkillMultiEffectTargetShape","enum:SkillMultiEffectCenterMode","float","float","float","enum:SkillTriggerDamageSource","enum:DamageAttribute","float","string","int","asset_path","float","float","enum:SkillTriggerActionKind","string","string","string","float","string","float","",""
"vega-b-master1-second-slash","vega-b","OnSkillCast","vega-b-master-1","","vega-b","LineAttack","100","Enemy","Nearest","Single","Caster","30","1.4","0.45","Fixed","Physical","1.8","","1","Assets/Prefab/Skill/Vega/Vega_B.prefab","1","0","LineAttack","","","vega-b-master1-second-silence","0.4","owner","","",""
"vega-a-master2-kill-transfer","vega-a","OnKill","vega-a-master-2","","vega-a","SingleAttack","90","Enemy","Nearest","Single","NearestEnemy","0","0","1","Fixed","","0","1","1","","1","0","Effect","vega-a","","vega-a-master2-transfer-mark","0","owner","","",""
"vega-g-mark-on-hit-base","vega-g","OnOutgoingDamage","","","","SingleAttack","10","Enemy","EventTarget","Single","EffectTarget","0","0","1","Fixed","Physical","0","1","1","","1","0","Effect","vega-b","","vega-b-g-mark-on-hit-effect","0","owner","","0",""
"vega-i-area-vulnerability-base","vega-i","OnOutgoingDamage","","vega-i-trait-2","","SingleAttack","10","Enemy","EventTarget","Single","EffectTarget","0","0","1","Fixed","Physical","0","1","1","","1","0","Effect","vega-d","","vega-d-i-area-vulnerability-base","0","owner","","0",""
"vega-i-area-vulnerability-trait2","vega-i","OnOutgoingDamage","vega-i-trait-2","","","SingleAttack","11","Enemy","EventTarget","Single","EffectTarget","0","0","1","Fixed","Physical","0","1","1","","1","0","Effect","vega-d","","vega-d-i-area-vulnerability-trait2","0","owner","","0",""
"vega-i-area-cooldown-base","vega-i","OnOutgoingDamage","","","","SingleAttack","20","Self","Owner","Single","Caster","0","0","1","Fixed","Physical","0","1","1","","1","1","CooldownRefund","","vega-d","","0","all_allies","0.03","0","Area"
"vega-i-area-vulnerability-trait1","vega-i","OnOutgoingDamage","vega-i-trait-1","vega-i-trait-2","","SingleAttack","12","Enemy","EventTarget","Single","EffectTarget","0","0","1","Fixed","Physical","0","1","1","","1","0","Effect","vega-d","","vega-d-i-area-vulnerability-trait1","0","owner","","0",""
"vega-i-area-vulnerability-trait1-trait2","vega-i","OnOutgoingDamage","vega-i-trait-1;vega-i-trait-2","","","SingleAttack","13","Enemy","EventTarget","Single","EffectTarget","0","0","1","Fixed","Physical","0","1","1","","1","0","Effect","vega-d","","vega-d-i-area-vulnerability-trait1-trait2","0","owner","","0",""
"vega-i-area-vulnerability-trait3","vega-i","OnOutgoingDamage","vega-i-trait-3","vega-i-trait-2","","SingleAttack","14","Enemy","EventTarget","Single","EffectTarget","0","0","1","Fixed","Physical","0","1","1","","1","0","Effect","vega-d","","vega-d-i-area-vulnerability-trait3","0","owner","","0",""
"vega-i-area-vulnerability-trait3-trait2","vega-i","OnOutgoingDamage","vega-i-trait-3;vega-i-trait-2","","","SingleAttack","15","Enemy","EventTarget","Single","EffectTarget","0","0","1","Fixed","Physical","0","1","1","","1","0","Effect","vega-d","","vega-d-i-area-vulnerability-trait3-trait2","0","owner","","0",""
"vega-j-cooldown-base","vega-j","OnKill","","","","SingleAttack","10","AllAllies","Owner","Battlefield","Caster","0","0","1","Fixed","Physical","0","global","1","","1","0","CooldownRefund","vega-e","","","0","owner","0.20","0",""
"vega-j-cooldown-trait1","vega-j","OnKill","vega-j-trait-1","","","SingleAttack","11","AllAllies","Owner","Battlefield","Caster","0","0","1","Fixed","Physical","0","global","1","","1","0","CooldownRefund","vega-e","","","0","owner","0.10","0",""
"vega-j-survive-target-base","vega-j","OnOutgoingDamage","","vega-j-trait-2","","SingleAttack","20","Enemy","EventTarget","Single","EffectTarget","0","0","1","Fixed","Physical","0","1","1","","1","0","Effect","vega-e","","vega-e-j-survive-target-base","0","owner","","0",""
"vega-j-survive-target-trait2","vega-j","OnOutgoingDamage","vega-j-trait-2","","","SingleAttack","21","Enemy","EventTarget","Single","EffectTarget","0","0","1","Fixed","Physical","0","1","1","","1","0","Effect","vega-e","","vega-e-j-survive-target-trait2","0","owner","","0",""
"vega-j-vega-d-cooldown-trait3","vega-j","OnKill","vega-j-trait-3","","","SingleAttack","30","Self","Owner","Single","Caster","0","0","1","Fixed","Physical","0","1","1","","1","0","CooldownRefund","vega-e","vega-d","","0","owner","0.20","0",""
