choice_id,monster_id,active_skill_id,passive_skill_id,linked_choice_id,sort_order,title,description,damage_multiplier,magazine_bonus,shot_interval_multiplier,reload_duration_multiplier,max_health_bonus,status_chance_bonus
id,string,string,string,string,int,string,string,float,int,float,float,float,float
"ariel-a-power","ariel","ariel-a","","","0","심판의 빛 증폭","심판의 빛 피해 +25%","1.25","0","1","1","0","0"
"ariel-a-magazine","ariel","ariel-a","","","1","성광 장전","탄창 +2, 사격 리듬 유지력 증가","1","2","1","1","0","0"
"ariel-f-guiding-light","ariel","","ariel-f","","2","빛의 인도","최대 체력 +30, 심판의 빛 피해 +10%","1.1","0","1","1","30","0"
"rin-a-power","rin","rin-a","","","0","파쇄권 증폭","파쇄권 피해 +20%","1.2","0","1","1","0","0"
"rin-a-magazine","rin","rin-a","","","1","압축 장전","탄창 +3, 재장전 부담 완화","1","3","1","0.95","0","0"
"rin-f-ambidextrous","rin","","rin-f","","2","양손잡이","최대 체력 +35, 파쇄권 피해 +12%","1.12","0","1","1","35","0"
"sein-a-power","sein","sein-a","","","0","열풍 화살 증폭","열풍 화살 피해 +22%","1.22","0","1","1","0","0"
"sein-a-magazine","sein","sein-a","","","1","화염 장전","탄창 +2, 발사 간격 -5%","1","2","0.95","1","0","0"
"sein-f-heated-aim","sein","","sein-f","","2","가열 조준","최대 체력 +20, 열풍 화살 피해 +15%","1.15","0","1","1","20","0"
"vega-a-power","vega","vega-a","","","0","삼검난무 증폭","삼검난무 피해 +18%","1.18","0","1","1","0","0"
"vega-a-magazine","vega","vega-a","","","1","검기 연장","탄창 +3, 발사 간격 -8%","1","3","0.92","1","0","0"
"vega-f-deep-engraving","vega","","vega-f","","2","각인 심화","최대 체력 +25, 삼검난무 피해 +12%","1.12","0","1","1","25","0"
"eve-a-trait-1","eve","eve-a","","eve-a-trait-1","0","Trait 1","Magazine +4, damage +20%","1.2","4","1","1","0","0"
"eve-a-trait-2","eve","eve-a","","eve-a-trait-2","1","Trait 2","Reload speed +30%, pierce +1","1","0","1","0.76923","0","0"
"eve-a-trait-3","eve","eve-a","","eve-a-trait-3","2","Trait 3","Additional projectile +1, reload time +20%","1","0","1","1.2","0","0"
"eve-a-trait-4","eve","eve-a","","eve-a-trait-4","3","Trait 4","Additional projectile +2, fire speed -25%","1","0","1.25","1","0","0"
"eve-a-trait-5","eve","eve-a","","eve-a-trait-5","4","Trait 5","Damage +25%, lightning branch chance +35%","1.25","0","1","1","0","0"
"eve-a-master-1","eve","eve-a","","eve-a-master-1","5","Branch Circuit","On hit create 2 branch lightning, 60% branch damage, search radius 4.5, damage +35%, magazine +2","1.35","2","1","1","0","0"
"eve-a-master-2","eve","eve-a","","eve-a-master-2","6","Overcharged Barrage","Pierce +2, additional projectile +2, fire speed -20%, damage +45%, shock 2 stacks on hit","1.45","0","1.2","1","0","0"
"eve-b-trait-1","eve","eve-b","","eve-b-trait-1","7","Trait 1","Damage +25%, tick speed +25%","1.25","0","0.8","1","0","0"
"eve-b-trait-2","eve","eve-b","","eve-b-trait-2","8","Trait 2","Damage +30%, beam width +30%","1.3","0","1","1","0","0"
