"choice_id","monster_id","skill_id","target_skill_id","choice_group","sort_order","title","description_text","skill_icon_path","skill_effect_prefab_path","damage_multiplier","base_damage_bonus","cooldown_multiplier","magazine_bonus","additional_projectile_bonus","pierce_bonus","reload_time_multiplier","shot_interval_multiplier","burst_damage_projectile_index","burst_damage_multiplier","follow_up_projectile_count","follow_up_projectile_delay_seconds","follow_up_projectile_damage_multiplier","radius_multiplier","radius_bonus","duration_multiplier","duration_bonus","damage_delay_multiplier","branch_chance_bonus","branch_chance_set","branch_count","branch_damage_multiplier","branch_search_radius","branch_launch_period","branch_launch_chance_set","status_tag","hit_target_count_bonus","crit_chance_bonus","crit_damage_bonus","status_chance_bonus","status_stacks_bonus","status_stacks_set","status_element_damage_taken_bonus","status_critical_damage_taken_bonus","max_health_bonus","beam_width_bonus","runtime_support_state","runtime_support_notes","status_ailment_resistance_bonus","count_status_id","count_target_side","damage_multiplier_per_count","count_max","status_conditional_source_status_id","status_conditional_damage_taken_bonus","status_duration_bonus_status_id","status_duration_bonus","threshold_status_id","threshold_status_min_stacks","threshold_apply_status_id","status_max_stacks_bonus_status_id","status_max_stacks_bonus","conditional_damage_multiplier","conditional_target_status_id","conditional_target_status_min_stacks","on_hit_additional_damage_chance","on_hit_additional_damage_multiplier","on_hit_additional_damage_attribute","on_hit_additional_damage_target","on_hit_chain_hit_period","on_hit_chain_target_count","on_hit_chain_search_radius","on_hit_chain_damage_multiplier","on_hit_chain_damage_attribute","on_hit_additional_damage_visual","knockback_distance_multiplier","reload_reduce_target_skill_id","reload_reduce_seconds_per_hit","execute_health_ratio_bonus","execute_crit_chance_bonus","boss_damage_multiplier","kill_cooldown_refund_ratio_bonus","kill_resets_cooldown","kill_resets_cooldown_requires_execute","core_hitbox_name","core_damage_multiplier","core_on_hit_additional_damage_chance","core_on_hit_additional_damage_multiplier","core_on_hit_additional_damage_attribute","hit_count_cooldown_refund_target_skill_id","hit_count_cooldown_refund_min_targets","hit_count_cooldown_refund_ratio","consecutive_hit_bonus_rate","consecutive_hit_max"
"id","string","string","string","enum:PakuriCsvChoiceGroup","int","string","string","asset_path","asset_path","float","float","float","int","int","int","float","float","int","float","int","float","float","float","float","float","float","","float","float","int","float","float","int","float","string","int","float","float","float","int","int","float","float","float","float","string","string","float","string","enum:Pakuri.Data.SkillMultiEffectTargetSide","float","int","string","float","string","float","string","int","string","string","int","float","string","int","float","float","enum:DamageAttribute","string","int","int","float","float","enum:DamageAttribute","string","float","string","float","float","float","float","float","bool","bool","string","float","float","float","enum:DamageAttribute","string","int","float","float","float"
"ariel-a-trait-1","ariel","ariel-a","ariel-a","ActiveEnhancement","0","특성 1","위력 +25%","","","1.25","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ReferenceDirect","Reference numeric effect mapped into unified choice CSV.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ariel-a-trait-2","ariel","ariel-a","ariel-a","ActiveEnhancement","1","특성 2","탄창 +3","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ReferenceDirect","Reference numeric effect mapped into unified choice CSV.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ariel-a-trait-3","ariel","ariel-a","ariel-a","ActiveEnhancement","2","특성 3","재장전 시간 -20%","","","","","","","","","0.8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ReferenceDirect","Reference numeric effect mapped into unified choice CSV.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ariel-a-trait-4","ariel","ariel-a","ariel-a","ActiveEnhancement","3","특성 4","관통 횟수 +1","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ReferenceDirect","Reference numeric effect mapped into unified choice CSV.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ariel-a-trait-5","ariel","ariel-a","ariel-a","ActiveEnhancement","4","특성 5","방어막을 가진 아군 1명당 위력 +6%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","RuntimeImplemented","Shared choice snapshot now counts shielded allies and adds +6% damage per ally at cast time.","","shield","AllAllies","0.06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ariel-a-master-1","ariel","ariel-a","ariel-a","ActiveMaster","0","백색 심판","마지막 탄환이 2회 폭발하며 범위 신성 피해를 준다","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ReferenceDirect","monster_skill_triger.csv OnMagazineLastProjectileHit trigger calls ariel-a-master-1-explosion twice at 0.5s interval using Ariel_C prefab hitbox.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ariel-a-master-2","ariel","ariel-a","ariel-a","ActiveMaster","1","인도하는 빛","심판의 빛에 맞은 적에게 신성 노출 1스택 부여","","","","","","","","","","","","","","","","","","","","","","","","","","","","holy-exposure","","","","1","","1","0.15","","","","ReferenceDirect","Reference status effect mapped into unified choice CSV.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ariel-b-trait-1","ariel","ariel-b","ariel-b","ActiveEnhancement","0","특성 1","방어막량 +30%","","","1.3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ReferenceDirect","Shield amount +30% mapped through shared shield snapshot multiplier.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ariel-b-trait-2","ariel","ariel-b","ariel-b","ActiveEnhancement","1","특성 2","지속시간 +2초","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","ReferenceDirect","Shield duration +2s mapped through shared shield snapshot duration bonus.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
