skill_id,monster_id,skill_kind,slot,display_name,runtime_kind,implementation_state,is_default_learned,is_available_without_active_requirement,required_active_slot,skill_icon_path,skill_effect_prefab_path,description_text,summary,attribute,base_damage,attack_power_coefficient,spell_power_coefficient,range,radius,cooldown_seconds,magazine_capacity,reload_seconds,shot_interval_seconds,critical_allowed,status_effect_id
id,string,enum:PakuriCsvSkillKind,enum:SkillSlot,string,enum:SkillRuntimeKind,enum:SkillImplementationState,bool,bool,enum:SkillSlot,asset_path,asset_path,string,string,enum:DamageAttribute,float,float,float,float,float,float,int,float,float,bool,string
ariel-a,ariel,Active,A,심판의 빛,MagazineProjectile,RuntimeImplemented,true,false,A,,,아리엘의 기본 신성 투사체. 적에게 빛의 탄환을 날려 신성 피해를 준다.,아리엘의 기본 신성 투사체. 적에게 빛의 탄환을 날려 신성 피해를 준다.,Holy,18,0,1,8.5,0,0,7,4.6,0.36,true,
ariel-b,ariel,Active,B,성광 방패,Shield,RuntimeImplemented,false,false,A,,,모든 아군에게 짧은 시간 유지되는 신성 방어막을 부여한다.,모든 아군에게 짧은 시간 유지되는 신성 방어막을 부여한다.,Physical,0,0,1.4,0,0,9,0,0,0,true,
ariel-c,ariel,Active,C,축복의 파동,AreaAttack,RuntimeImplemented,false,false,A,,,"아군 전체를 강화하고, 가장 가까운 적 무리에는 신성 파동 피해를 준다.","아군 전체를 강화하고, 가장 가까운 적 무리에는 신성 파동 피해를 준다.",Holy,28,0,1.2,0,3,8,0,0,0,true,
ariel-d,ariel,Active,D,천상의 낙인,Mark,RuntimeImplemented,false,false,A,,,가장 강한 적에게 신성 낙인을 새겨 파티의 집중 공격 대상으로 만든다.,가장 강한 적에게 신성 낙인을 새겨 파티의 집중 공격 대상으로 만든다.,Holy,40,0,1.8,0,0,10,0,0,0,true,
ariel-e,ariel,Active,E,대천사의 강림,AreaAttack,RuntimeImplemented,false,false,A,,,전장에 신성한 빛을 내려 적에게 광역 피해를 주고 모든 아군에게 강한 방어막을 부여한다.,전장에 신성한 빛을 내려 적에게 광역 피해를 주고 모든 아군에게 강한 방어막을 부여한다.,Holy,58,0,2.4,0,0,17,0,0,0,true,
ariel-f,ariel,Passive,F,빛의 인도,Passive,RuntimeImplemented,false,true,A,,,심판의 빛 대응 패시브. 아리엘의 신성 공격이 파티 전체의 신성 화력 기준점이 된다.\n모든 아군의 신성 피해: +12%,모든 아군의 신성 피해: +12%,Physical,0,0,0,0,0,0,0,0,0,false,
ariel-g,ariel,Passive,G,수호 교리,Passive,RuntimeImplemented,false,false,B,,,성광 방패 대응 패시브. 모든 아군의 방어막 운용을 강화한다.\n모든 아군이 받는 방어막량: +18%\n전투 시작 시 모든 아군 신성 방어막: 25 + 주문력 * 0.8,모든 아군이 받는 방어막량: +18%\n전투 시작 시 모든 아군 신성 방어막: 25 + 주문력 * 0.8,Physical,0,0,0,0,0,0,0,0,0,false,
ariel-h,ariel,Passive,H,축복 전파,Passive,RuntimeImplemented,false,false,C,,,축복의 파동 대응 패시브. 축복 효과를 파티의 지속 화력으로 연결한다.\n축복을 받은 아군의 신성 피해: +15%\n축복을 받은 아군의 쿨타임 충전 속도: +10%,축복을 받은 아군의 신성 피해: +15%\n축복을 받은 아군의 쿨타임 충전 속도: +10%,Physical,0,0,0,0,0,0,0,0,0,false,
ariel-i,ariel,Passive,I,낙인 계시,Passive,RuntimeImplemented,false,false,D,,,천상의 낙인 대응 패시브. 신성 노출 대상에게 파티의 공격을 집중시킨다.\n신성 노출 대상이 모든 아군에게 받는 피해: +10%,신성 노출 대상이 모든 아군에게 받는 피해: +10%,Physical,0,0,0,0,0,0,0,0,0,false,
ariel-j,ariel,Passive,J,성역 선포,Passive,RuntimeImplemented,false,false,E,,,"대천사의 강림 대응 패시브. 강림 이후 파티가 다시 공세를 이어갈 수 있게 만든다.\n대천사의 강림 이후 모든 아군 행동속도: +15%, 5초\n대천사의 강림 방어막이 남아있는 아군의 신성 피해: +20%","대천사의 강림 이후 모든 아군 행동속도: +15%, 5초\n대천사의 강림 방어막이 남아있는 아군의 신성 피해: +20%",Physical,0,0,0,0,0,0,0,0,0,false,
eve-a,eve,Active,A,아크 볼트,MagazineProjectile,RuntimeImplemented,true,false,A,,,이브 타워의 기본 액티브 스킬.,이브 타워의 기본 액티브 스킬.,Lightning,24,0,0.95,8,0,0,6,4,0.35,true,감전
eve-b,eve,Active,B,프리즘 레이,LineAttack,RuntimeImplemented,false,false,A,,Assets/Image/Monster/Eve/Effect_Prefab/Eve_Skill_B.prefab,Beholder의 Decomposition Ray 참고.,Beholder의 Decomposition Ray 참고.,Lightning,12,0,1.6,12,0,6.5,0,0,0,true,
eve-c,eve,Active,C,프로스트 필드,Field,RuntimeImplemented,false,false,A,,,,,Ice,8,0,0.8,0,3.2,8,0,0,0,true,빙결
eve-d,eve,Active,D,스태틱 오버라이드,AreaAttack,RuntimeImplemented,false,false,A,,,,,Lightning,10,0,0.7,0,3.5,7,0,0,0,true,감전
eve-e,eve,Active,E,드론 비컨,MagazineProjectile,RuntimeImplemented,false,false,A,,,,,Ice,14,0,0.9,9,0,0,3,6,0,true,취약
eve-f,eve,Passive,F,전압 보정,Passive,RuntimeImplemented,false,true,A,,,"아크 볼트 대응 패시브. 번개 스킬 보유 아군에게 전투 시작 보호막을 부여한다.\n전투 시작 시 번개 스킬 보유 아군에게 보호막: 이브 주문력의 120%, 12초\n모든 아군이 감전 대상에게 주는 피해: +10%","전투 시작 시 번개 스킬 보유 아군에게 보호막: 이브 주문력의 120%, 12초\n모든 아군이 감전 대상에게 주는 피해: +10%",Physical,0,0,0,0,0,0,0,0,0,false,
eve-g,eve,Passive,G,입자 분리,Passive,RuntimeImplemented,false,false,B,,,"프리즘 레이 대응 패시브. 아군의 번개/얼음 피해를 프리즘 레이 자동 발동으로 연결한다.\n아군이 번개/얼음 피해를 줄 때 프리즘 레이 자동 발동 확률: 4%, 재발동 대기시간 1.5초\n모든 아군의 번개/얼음 피해: +8%","아군이 번개/얼음 피해를 줄 때 프리즘 레이 자동 발동 확률: 4%, 재발동 대기시간 1.5초\n모든 아군의 번개/얼음 피해: +8%",Physical,0,0,0,0,0,0,0,0,0,false,
eve-h,eve,Passive,H,냉각 알고리즘,Passive,RuntimeImplemented,false,false,C,,,프로스트 필드 대응 패시브. 추위와 빙결 대상을 아군 전체가 더 쉽게 제압하게 한다.\n모든 아군이 추위/빙결 대상에게 주는 피해: +14%\n모든 아군이 추위/빙결 대상에게 상태이상을 부여할 확률: +10%,모든 아군이 추위/빙결 대상에게 주는 피해: +14%\n모든 아군이 추위/빙결 대상에게 상태이상을 부여할 확률: +10%,Physical,0,0,0,0,0,0,0,0,0,false,
eve-i,eve,Passive,I,과전류 회로,Passive,RuntimeImplemented,false,false,D,,,스태틱 오버라이드 대응 패시브. 감전 대상에게 아군 전체의 번개 화력을 집중시킨다.\n모든 아군이 감전 대상에게 주는 번개 피해: +18%\n감전 5스택 대상의 번개 저항: -12,모든 아군이 감전 대상에게 주는 번개 피해: +18%\n감전 5스택 대상의 번개 저항: -12,Physical,0,0,0,0,0,0,0,0,0,false,
eve-j,eve,Passive,J,약점 분석,Passive,RuntimeImplemented,false,false,E,,,드론 비컨 대응 패시브. 취약 대상을 아군 전체의 집중 공격 목표로 만든다.\n모든 아군이 취약 대상에게 주는 피해: +12%\n취약 대상의 모든 저항: -8,모든 아군이 취약 대상에게 주는 피해: +12%\n취약 대상의 모든 저항: -8,Physical,0,0,0,0,0,0,0,0,0,false,
rin-a,rin,Active,A,파쇄권,MagazineProjectile,RuntimeImplemented,true,false,A,,,린 타워의 기본 액티브 스킬. 거대 기계 건틀릿에서 주먹 모양의 충격파를 탄환처럼 발사한다.,린 타워의 기본 액티브 스킬. 거대 기계 건틀릿에서 주먹 모양의 충격파를 탄환처럼 발사한다.,Physical,17,1,0,7.5,0,0,10,4,0.34,true,
rin-b,rin,Active,B,하울링,Buff,RuntimeImplemented,false,false,A,,,린이 전장 전체에 전투 함성을 내질러 아군 전체의 행동속도를 끌어올린다.,린이 전장 전체에 전투 함성을 내질러 아군 전체의 행동속도를 끌어올린다.,Physical,0,0,0,0,0,12,0,0,0,true,
rin-c,rin,Active,C,충격파,LineAttack,RuntimeImplemented,false,false,A,,Assets/Image/Monster/Rin/Effect_Prefab/Rin_Skill_C.prefab,파쇄권보다 묵직한 직선 충격파를 발사해 적을 살짝 뒤로 밀어낸다.,파쇄권보다 묵직한 직선 충격파를 발사해 적을 살짝 뒤로 밀어낸다.,Physical,28,1.35,0,8.5,0,5.5,0,0,0,true,
rin-d,rin,Active,D,종결 일격,Execute,RuntimeImplemented,false,false,A,,,체력이 낮아진 적을 거대한 충격권으로 마무리하는 처형형 물리 스킬.,체력이 낮아진 적을 거대한 충격권으로 마무리하는 처형형 물리 스킬.,Physical,45,2.4,0,7.5,0,9,0,0,0,true,
rin-e,rin,Active,E,붕괴 타격,AreaAttack,RuntimeImplemented,false,false,A,,,지정 범위에 거대한 주먹 충격을 떨어뜨려 강한 물리 피해를 1회 입히는 비탄창 스킬.,지정 범위에 거대한 주먹 충격을 떨어뜨려 강한 물리 피해를 1회 입히는 비탄창 스킬.,Physical,40,2,0,8,2.4,8,0,0,0,true,
rin-f,rin,Passive,F,양손잡이,Passive,RuntimeImplemented,false,true,A,,,"린의 모든 공격에 반 박자 늦은 추가 일격을 덧붙여, 묵직한 연타형 브루저 리듬을 완성하는 패시브.\n모든 아군의 물리 피해: +12%\n린의 스킬 적중 시 추가타: 최종 피해의 35% 물리 피해 1회\n추가타 적용 대상: 파쇄권, 하울링을 제외한 직접 피해 액티브 전부","모든 아군의 물리 피해: +12%\n린의 스킬 적중 시 추가타: 최종 피해의 35% 물리 피해 1회\n추가타 적용 대상: 파쇄권, 하울링을 제외한 직접 피해 액티브 전부",Physical,0,0,0,0,0,0,0,0,0,false,
rin-g,rin,Passive,G,전장의 공명,Passive,RuntimeImplemented,false,false,B,,,"린의 함성이 전장 전체의 전투 리듬을 맞추며, 하울링을 아군 공세의 핵심 버프로 확장한다.\n하울링 중 모든 아군의 공격력: +14%\n하울링 중 모든 아군의 행동속도: +8%",하울링 중 모든 아군의 공격력: +14%\n하울링 중 모든 아군의 행동속도: +8%,Physical,0,0,0,0,0,0,0,0,0,false,
rin-h,rin,Passive,H,파문 증폭,Passive,RuntimeImplemented,false,false,C,,,"린의 충격파를 아군 물리 공세와 연결해, 전열 제어와 연쇄 압박을 동시에 만든다.\n아군이 물리 피해를 10회 줄 때 충격파 자동 발동: 1회, 내부 대기시간 3.0초\n자동 발동 충격파 위력: 75%","아군이 물리 피해를 10회 줄 때 충격파 자동 발동: 1회, 내부 대기시간 3.0초\n자동 발동 충격파 위력: 75%",Physical,0,0,0,0,0,0,0,0,0,false,
rin-i,rin,Passive,I,마무리 본능,Passive,RuntimeImplemented,false,false,D,,,"약해진 적을 향한 린의 살의가 아군 전체의 집중 화력을 끌어내는 처형 연계 패시브.\n현재 체력 35% 이하 적이 받는 모든 아군 피해: +16%\n종결 일격으로 적 처치 시 모든 아군의 행동속도: +10%, 4.0초","현재 체력 35% 이하 적이 받는 모든 아군 피해: +16%\n종결 일격으로 적 처치 시 모든 아군의 행동속도: +10%, 4.0초",Physical,0,0,0,0,0,0,0,0,0,false,
rin-j,rin,Passive,J,붕괴 여파,Passive,RuntimeImplemented,false,false,E,,,"붕괴 타격이 남긴 균열을 틈타 아군의 물리 공세가 적의 방어를 무너뜨리는 결전형 패시브.\n붕괴 타격 적중 대상의 물리 방어력: -18%, 4.0초\n붕괴 타격이 3명 이상 적중하면 모든 아군의 행동속도: +12%, 3.0초","붕괴 타격 적중 대상의 물리 방어력: -18%, 4.0초\n붕괴 타격이 3명 이상 적중하면 모든 아군의 행동속도: +12%, 3.0초",Physical,0,0,0,0,0,0,0,0,0,false,
sein-a,sein,Active,A,열풍 화살,MagazineProjectile,RuntimeImplemented,true,false,A,,,세인 타워의 기본 액티브 스킬. 고온의 상승기류를 두른 화살을 발사한다.,세인 타워의 기본 액티브 스킬. 고온의 상승기류를 두른 화살을 발사한다.,Fire,22,1.1,0,9,0,0,8,4.4,0.32,true,
