"status_effect_id","status_effect_label","effect_type","attribute","default_duration_seconds","is_permanent","max_stacks","base_stack_amount","can_move","can_act","can_use_special_skill","action_speed_bonus_per_stack","move_speed_bonus_per_stack","attack_power_bonus_per_stack","damage_taken_bonus_per_stack","critical_damage_taken_bonus_per_stack","critical_resistance_bonus_per_stack","element_resist_reduction_per_stack","element_damage_taken_bonus_per_stack"
"id","string","enum:StatusEffectClassification","enum:DamageAttribute|None","float","bool","int","int","bool","bool","bool","float","float","float","float","float","float","float","float"
"shock","감전","Debuff","Lightning","4","false","5","1","true","true","true","0","0","0","0","0","0","0","0"
"chill","추위","Debuff","Ice","3","false","5","1","true","true","true","0","-0.06","0","0","0","0","0","0"
"freeze","빙결","Debuff","Ice","2","false","1","1","false","false","false","0","0","0","0","0","0","0","0"
"slow","둔화","Debuff","Ice","3","false","5","1","true","true","true","0","-0.06","0","0","0","0","0","0"
"vulnerable","취약","Debuff","None","0","true","10","1","true","true","true","0","0","0","0","0.03","-0.03","0","0"
"fire-resist-down","화염 저항 감소","Debuff","Fire","0","false","0","1","true","true","true","0","0","0","0","0","0","0","0"
"fire-exposure","화염 노출","Debuff","Fire","0","false","0","1","true","true","true","0","0","0","0","0","0","0","0"
"shield","방어막","Buff","Holy","0","false","0","1","true","true","true","0","0","0","0","0","0","0","0"
"blessing","축복","Buff","Holy","0","false","1","1","true","true","true","0","0","0","0","0","0","0","0"
"holy-exposure","신성 노출","Debuff","Holy","0","false","1","1","true","true","true","0","0","0","0","0","0","0","0"
"holy-resist-down","신성 저항 감소","Debuff","Holy","0","false","0","1","true","true","true","0","0","0","0","0","0","0","0"
"name-mark","이름표식","Debuff","None","0","true","0","1","true","true","true","0","0","0","0","0","0","0","0"
"silence","침묵","Debuff","None","0","false","1","1","true","true","false","0","0","0","0","0","0","0","0"
"slaughter-permit","몰살 허가","Buff","None","6","false","1","1","true","true","true","0.25","0","0.2","0","0","0","0","0"
"action-speed-up","행동속도 증가","Buff","None","6","false","1","1","true","true","true","0.25","0","0","0","0","0","0","0"
