encounter_name,spawn_order,enemy_name,count,interval_sec,spawn_y_min,spawn_y_max,is_boss_candidate,boss_health_multiplier_min,boss_health_multiplier_max,guaranteed_prisoner
string,int,string,int,float,float,float,bool,float,float,bool
stage2-day1-normal,0,stage2-fire-dragon-slayer,6,1,-5,5,true,20,30,true
stage2-day1-normal,1,stage2-lightning-scout,7,1,-5,5,true,20,30,false
stage2-day1-normal,2,stage2-dark-assassin,6,1,-5,5,true,20,30,false
stage2-day1-normal,3,stage2-holy-priest,3,1,-5,5,true,20,30,false
stage2-day2-normal,0,stage2-fire-dragon-slayer,8,1,-5,5,true,20,30,true
stage2-day2-normal,1,stage2-dark-assassin,7,1,-5,5,true,20,30,false
stage2-day3-normal,0,stage2-ice-guard,5,1,-5,5,true,20,30,true
stage2-day3-normal,1,stage2-holy-priest,4,1,-5,5,true,20,30,false
stage2-day4-normal,0,stage2-fire-dragon-slayer,8,1,-5,5,true,20,30,true
stage2-day4-normal,1,stage2-ice-guard,6,1,-5,5,true,20,30,false
stage2-day4-normal,2,stage2-lightning-scout,7,1,-5,5,true,20,30,false
stage2-day5-midboss,0,stage2-ethan,1,1,0,0,false,1,1,true
stage2-day5-midboss,1,stage2-fire-dragon-slayer,8,1,-5,5,true,1,1,false
stage2-day6-normal,0,stage2-fire-dragon-slayer,6,1,-5,5,true,20,30,true
stage2-day6-normal,1,stage2-holy-priest,5,1,-5,5,true,20,30,false
stage2-day7-normal,0,stage2-ice-guard,6,1,-5,5,true,20,30,true
stage2-day7-normal,1,stage2-dark-assassin,8,1,-5,5,true,20,30,false
stage2-day8-normal,0,stage2-fire-dragon-slayer,6,1,-5,5,true,20,30,true
stage2-day8-normal,1,stage2-ice-guard,5,1,-5,5,true,20,30,false
stage2-day8-normal,2,stage2-holy-priest,8,1,-5,5,true,20,30,false
stage2-day9-normal,0,stage2-fire-dragon-slayer,9,1,-5,5,true,20,30,true
stage2-day9-normal,1,stage2-ice-guard,9,1,-5,5,true,20,30,false
stage2-day9-normal,2,stage2-dark-assassin,7,1,-5,5,true,20,30,false
stage2-day9-normal,3,stage2-holy-priest,7,1,-5,5,true,20,30,false
stage2-day10-midboss,0,stage2-drake,1,1,0,0,false,1,1,true
stage2-day10-midboss,1,stage2-ice-guard,6,1,-5,5,true,1,1,false
stage2-day10-midboss,2,stage2-dark-assassin,7,1,-5,5,true,1,1,false
stage2-day11-boss,0,stage2-ethan,1,1,0,0,false,1,1,false
stage2-day11-boss,1,stage2-drake,1,1,0,0,false,1,1,false
stage2-day11-boss,2,stage2-arsen,1,1,0,0,false,1,1,true
