wave_id,chapter_id,phase_id,time_sec,enemy_id,count,interval_sec,spawn_group,is_elite,trigger_type,trigger_value,notes
C1_W01,CH1,PHASE_01,0,ENEMY_001,6,1.2,grunt_intro,false,time,0,intro wave
C1_W01,CH1,PHASE_01,14,ENEMY_002,2,2.0,breaker_intro,false,time,14,teach rush enemy
C1_W02,CH1,PHASE_01,0,ENEMY_001,10,0.9,grunt_pack,false,time,0,denser front
C1_W02,CH1,PHASE_02,18,ENEMY_003,3,1.8,ranged_intro,false,time,18,add projectile pressure
C1_W03,CH1,PHASE_01,0,ENEMY_001,10,0.8,grunt_pack,false,time,0,stable pressure
C1_W03,CH1,PHASE_02,22,ENEMY_004,2,3.0,tank_intro,false,time,22,need shred or focus
C1_W04,CH1,PHASE_01,0,ENEMY_001,12,0.7,grunt_dense,false,time,0,increase density
C1_W04,CH1,PHASE_02,20,ENEMY_005,2,2.5,support_mix,false,time,20,support enemies appear
C1_W05,CH1,PHASE_01,0,ENEMY_001,14,0.7,grunt_dense,false,time,0,pre elite pressure
C1_W05,CH1,PHASE_02,26,ENEMY_008,1,0,elite_intro,true,time,26,first elite
C1_W06,CH1,PHASE_01,0,ENEMY_001,12,0.6,grunt_dense,false,time,0,multi angle prep
C1_W06,CH1,PHASE_02,18,ENEMY_003,4,1.5,ranged_mix,false,time,18,top pressure
C1_W06,CH1,PHASE_03,36,ENEMY_006,2,2.8,summon_intro,false,time,36,summoner intro
C1_W07,CH1,PHASE_01,0,ENEMY_001,16,0.6,grunt_rush,false,time,0,high density
C1_W07,CH1,PHASE_02,16,ENEMY_007,2,2.0,flank_intro,false,time,16,first flank pressure
C1_W08,CH1,PHASE_BOSS,0,BOSS_001,1,0,boss,true,time,0,boss start
C1_W08,CH1,PHASE_BOSS,15,ENEMY_008,2,4.0,boss_guard,true,hp,0.75,phase 2 guards
C1_W08,CH1,PHASE_BOSS,35,ENEMY_002,4,1.5,boss_break,false,hp,0.50,phase 3 breakers
C1_W08,CH1,PHASE_BOSS,55,ENEMY_007,3,1.8,boss_flank,false,hp,0.25,final flank
