choice_id,monster_id,sort_order,title,description,damage_multiplier,magazine_bonus,shot_interval_multiplier,reload_duration_multiplier,max_health_bonus,status_chance_bonus
id,string,int,string,string,float,int,float,float,float,float
ariel-a-power,ariel,0,심판의 빛 증폭,심판의 빛 피해 +25%,1.25,0,1,1,0,0
ariel-a-magazine,ariel,1,성광 장전,"탄창 +2, 사격 리듬 유지력 증가",1,2,1,1,0,0
ariel-f-guiding-light,ariel,2,빛의 인도,"최대 체력 +30, 심판의 빛 피해 +10%",1.1,0,1,1,30,0
eve-a-power,eve,0,아크 볼트 증폭,아크 볼트 피해 +20%,1.2,0,1,1,0,0
eve-a-magazine,eve,1,축전지 확장,"탄창 +2, 보스전 유지력 증가",1,2,1,1,0,0
eve-f-voltage-calibration,eve,2,전압 보정,"발사 간격 -10%, 재장전 -10%, 감전 확률 +10%",1,0,0.9,0.9,0,0.1
rin-a-power,rin,0,파쇄권 증폭,파쇄권 피해 +20%,1.2,0,1,1,0,0
rin-a-magazine,rin,1,압축 장전,"탄창 +3, 재장전 부담 완화",1,3,1,0.95,0,0
rin-f-ambidextrous,rin,2,양손잡이,"최대 체력 +35, 파쇄권 피해 +12%",1.12,0,1,1,35,0
sein-a-power,sein,0,열풍 화살 증폭,열풍 화살 피해 +22%,1.22,0,1,1,0,0
sein-a-magazine,sein,1,화염 장전,"탄창 +2, 발사 간격 -5%",1,2,0.95,1,0,0
sein-f-heated-aim,sein,2,가열 조준,"최대 체력 +20, 열풍 화살 피해 +15%",1.15,0,1,1,20,0
vega-a-power,vega,0,삼검난무 증폭,삼검난무 피해 +18%,1.18,0,1,1,0,0
vega-a-magazine,vega,1,검기 연장,"탄창 +3, 발사 간격 -8%",1,3,0.92,1,0,0
vega-f-deep-engraving,vega,2,각인 심화,"최대 체력 +25, 삼검난무 피해 +12%",1.12,0,1,1,25,0
