formation_id,formation_name,formation_type,shared_effect_summary,anchor_x,anchor_y,slot_id,slot_x,slot_y,slot_effect_summary,required_tag,required_element,notes
FORMATION_DENSE,대형,Dense,모든 용사 이동 속도 증가,4,8,1,4,9,배치된 몬스터의 모든 저항 증가,,,
FORMATION_DENSE,대형,Dense,모든 용사 이동 속도 증가,4,8,2,5,10,배치된 몬스터의 행동 속도 증가,,,
FORMATION_DENSE,대형,Dense,모든 용사 이동 속도 증가,4,8,3,5,8,배치된 몬스터의 행동 속도 증가,,,
FORMATION_DENSE,대형,Dense,모든 용사 이동 속도 증가,4,8,4,6,9,배치된 몬스터의 위력 증가,,,
FORMATION_DENSE,대형,Dense,모든 용사 이동 속도 증가,4,8,5,6,7,배치된 몬스터의 위력 증가,,,
FORMATION_DARK,흑백,Dark,모든 몬스터의 신성/어둠 피해 증가,4,8,1,4,8,어둠 피해 스킬 몬스터 배치 시 전체 위력 증가,,Dark,
FORMATION_DARK,흑백,Dark,모든 몬스터의 신성/어둠 피해 증가,4,8,2,5,9,신성 피해 스킬 몬스터 배치 시 전체 위력 증가,,Holy,
FORMATION_DARK,흑백,Dark,모든 몬스터의 신성/어둠 피해 증가,4,8,3,5,7,신성 계열 추가 보정 슬롯,,Holy,
FORMATION_DARK,흑백,Dark,모든 몬스터의 신성/어둠 피해 증가,4,8,4,6,8,어둠 계열 추가 보정 슬롯,,Dark,
FORMATION_DARK,흑백,Dark,모든 몬스터의 신성/어둠 피해 증가,4,8,5,6,6,광역 보정 슬롯,,,
FORMATION_ELEMENT,원소,Element,원소 계열 스킬 수에 비례해 위력 증가,4,8,1,4,10,화염 피해 강화 슬롯,,Fire,
FORMATION_ELEMENT,원소,Element,원소 계열 스킬 수에 비례해 위력 증가,4,8,2,5,9,냉기 피해 강화 슬롯,,Cold,
FORMATION_ELEMENT,원소,Element,원소 계열 스킬 수에 비례해 위력 증가,4,8,3,5,11,번개 피해 강화 슬롯,,Lightning,
FORMATION_ELEMENT,원소,Element,원소 계열 스킬 수에 비례해 위력 증가,4,8,4,6,10,산성/보조 원소 광역 슬롯,,,
FORMATION_ELEMENT,원소,Element,원소 계열 스킬 수에 비례해 위력 증가,4,8,5,6,8,광역 보정 슬롯,,,
FORMATION_DEFENSE,포위,Defense,모든 몬스터의 지속력 증가,4,8,1,4,7,유지력 보정 슬롯,,,
FORMATION_DEFENSE,포위,Defense,모든 몬스터의 지속력 증가,4,8,2,5,8,방어 보정 슬롯,,,
FORMATION_DEFENSE,포위,Defense,모든 몬스터의 지속력 증가,4,8,3,5,6,제어 보정 슬롯,,,
FORMATION_DEFENSE,포위,Defense,모든 몬스터의 지속력 증가,4,8,4,6,7,행동 보정 슬롯,,,
FORMATION_DEFENSE,포위,Defense,모든 몬스터의 지속력 증가,4,8,5,6,5,광역 보정 슬롯,,,
