choice_id,monster_id,skill_id,choice_group,sort_order,title,description_text,skill_icon_path,skill_effect_prefab_path
id,string,string,enum:PakuriCsvChoiceGroup,int,string,string,asset_path,asset_path
ariel-a-trait-1,ariel,ariel-a,ActiveEnhancement,0,특성 1,위력 +25%,,
ariel-a-trait-2,ariel,ariel-a,ActiveEnhancement,1,특성 2,탄창 +3,,
ariel-a-trait-3,ariel,ariel-a,ActiveEnhancement,2,특성 3,재장전 시간 -20%,,
ariel-a-trait-4,ariel,ariel-a,ActiveEnhancement,3,특성 4,관통 횟수 +1,,
ariel-a-trait-5,ariel,ariel-a,ActiveEnhancement,4,특성 5,방어막을 가진 아군 1명당 위력 +6%,,
ariel-a-master-1,ariel,ariel-a,ActiveMaster,0,백색 심판,마지막 탄환이 2회 폭발하며 범위 신성 피해를 준다,,
ariel-a-master-2,ariel,ariel-a,ActiveMaster,1,인도하는 빛,심판의 빛에 맞은 적에게 신성 노출 1스택 부여,,
ariel-b-trait-1,ariel,ariel-b,ActiveEnhancement,0,특성 1,방어막량 +30%,,
ariel-b-trait-2,ariel,ariel-b,ActiveEnhancement,1,특성 2,지속시간 +2초,,
ariel-b-trait-3,ariel,ariel-b,ActiveEnhancement,2,특성 3,쿨타임 -20%,,
ariel-b-trait-4,ariel,ariel-b,ActiveEnhancement,3,특성 4,방어막이 사라질 때 주변 적에게 방어막량의 60% 신성 피해,,
ariel-b-trait-5,ariel,ariel-b,ActiveEnhancement,4,특성 5,"방어막을 받은 아군의 신성 피해 +12%, 5초",,
ariel-b-master-1,ariel,ariel-b,ActiveMaster,0,순백의 장벽,"방어막량 +50%, 방어막이 유지되는 동안 상태이상 저항 +30%",,
ariel-b-master-2,ariel,ariel-b,ActiveMaster,1,반사의 성광,방어막이 피해를 흡수할 때 공격자에게 흡수량의 35% 신성 피해,,
ariel-c-trait-1,ariel,ariel-c,ActiveEnhancement,0,특성 1,위력 +25%,,
ariel-c-trait-2,ariel,ariel-c,ActiveEnhancement,1,특성 2,행동속도 증가량 +6%,,
ariel-c-trait-3,ariel,ariel-c,ActiveEnhancement,2,특성 3,버프 지속시간 +2초,,
ariel-c-trait-4,ariel,ariel-c,ActiveEnhancement,3,특성 4,파동 반경 +25%,,
ariel-c-trait-5,ariel,ariel-c,ActiveEnhancement,4,특성 5,방어막을 가진 아군은 추가로 신성 피해 +10%,,
ariel-c-master-1,ariel,ariel-c,ActiveMaster,0,찬란한 성가,행동속도 대신 모든 아군 주문력 +18% 추가,,
ariel-c-master-2,ariel,ariel-c,ActiveMaster,1,전장의 축도,파동이 2회 발생하며 두 번째 파동의 위력은 60%,,
ariel-d-trait-1,ariel,ariel-d,ActiveEnhancement,0,특성 1,위력 +30%,,
ariel-d-trait-2,ariel,ariel-d,ActiveEnhancement,1,특성 2,신성 노출 +8%,,
ariel-d-trait-3,ariel,ariel-d,ActiveEnhancement,2,특성 3,지속시간 +3초,,
ariel-d-trait-4,ariel,ariel-d,ActiveEnhancement,3,특성 4,"대상 수 +1, 위력 -20%",,
ariel-d-trait-5,ariel,ariel-d,ActiveEnhancement,4,특성 5,방어막을 가진 아군이 낙인 대상에게 주는 피해 +10%,,
ariel-d-master-1,ariel,ariel-d,ActiveMaster,0,성흔 각인,낙인 대상이 받는 치명타 피해 +25%,,
ariel-d-master-2,ariel,ariel-d,ActiveMaster,1,계시의 창,낙인이 끝날 때 누적 신성 피해의 20%만큼 추가 신성 피해,,
