"choice_id","owner_id","skill_id","choice_type","choice_index","display_name","description","source_status","source_notes"
"eve-a-trait-1","eve","eve-a","ActiveEnhancement","0","Trait 1","Magazine +4, damage +20%","ReferenceDirect","a-arc-bolt.md trait 1."
"eve-a-trait-2","eve","eve-a","ActiveEnhancement","1","Trait 2","Reload speed +30%, pierce +1","DerivedFromReference","a-arc-bolt.md trait 2; reload speed stored as reload_time_multiplier 0.76923."
"eve-a-trait-3","eve","eve-a","ActiveEnhancement","2","Trait 3","Additional projectile +1, reload time +20%","ReferenceDirect","a-arc-bolt.md trait 3."
"eve-a-trait-4","eve","eve-a","ActiveEnhancement","3","Trait 4","Additional projectile +2, fire speed -25%","DerivedFromReference","a-arc-bolt.md trait 4; fire speed penalty stored as shot_interval_multiplier 1.25."
"eve-a-trait-5","eve","eve-a","ActiveEnhancement","4","Trait 5","Damage +25%, lightning branch chance +35%","ReferenceDirect","a-arc-bolt.md trait 5."
"eve-a-master-1","eve","eve-a","ActiveMaster","0","Branch Circuit","On hit create 2 branch lightning, 60% branch damage, search radius 4.5, damage +35%, magazine +2","ReferenceDirect","a-arc-bolt.md master Branch Circuit."
"eve-a-master-2","eve","eve-a","ActiveMaster","1","Overcharged Barrage","Pierce +2, additional projectile +2, fire speed -20%, damage +45%, shock 2 stacks on hit","DerivedFromReference","a-arc-bolt.md master Overcharged Barrage; fire speed penalty stored as shot_interval_multiplier 1.2."
"eve-b-trait-1","eve","eve-b","ActiveEnhancement","0","Trait 1","Damage +25%, tick speed +25%","DerivedFromReference","b-prism-ray.md trait 1; tick speed stored as shot_interval_multiplier 0.8."
"eve-b-trait-2","eve","eve-b","ActiveEnhancement","1","Trait 2","Damage +30%, beam width +30%","ReferenceDirect","b-prism-ray.md trait 2."
"eve-b-trait-3","eve","eve-b","ActiveEnhancement","2","Trait 3","Charge speed +35%, duration +15%","PartialRuntimeSupport","b-prism-ray.md trait 3; duration supported"
"eve-b-trait-4","eve","eve-b","ActiveEnhancement","3","Trait 4","Damage +100%, duration -50%","ReferenceDirect","b-prism-ray.md trait 4."
"eve-b-trait-5","eve","eve-b","ActiveEnhancement","4","Trait 5","Charge speed +30%, tick speed +20%","PartialRuntimeSupport","b-prism-ray.md trait 5; tick speed supported"
"eve-b-master-1","eve","eve-b","ActiveMaster","0","Focused Ray","Duration -45%, damage +75%, tick speed +75%","DerivedFromReference","b-prism-ray.md master Focused Ray."
"eve-b-master-2","eve","eve-b","ActiveMaster","1","Decomposition Spectrum","Enemies hit by Prism Ray lose 10 lightning and ice resistance for 5s","DataOnlyUnsupported","b-prism-ray.md master Decomposition Spectrum; resistance debuff fields are not supported by current modifier schema."
"eve-c-trait-1","eve","eve-c","ActiveEnhancement","0","Trait 1","Radius +25%, duration +15%","ReferenceDirect","c-frost-field.md trait 1."
"eve-c-trait-2","eve","eve-c","ActiveEnhancement","1","Trait 2","Tick speed +25%, chill stacks +1","DerivedFromReference","c-frost-field.md trait 2; tick speed stored as shot_interval_multiplier 0.8."
"eve-c-trait-3","eve","eve-c","ActiveEnhancement","2","Trait 3","Damage +30%, cooldown -15%","PartialRuntimeSupport","c-frost-field.md trait 3; damage supported"
"eve-c-trait-4","eve","eve-c","ActiveEnhancement","3","Trait 4","Radius -20%, damage +80%","ReferenceDirect","c-frost-field.md trait 4."
"eve-c-trait-5","eve","eve-c","ActiveEnhancement","4","Trait 5","Freeze duration +1.0s, ice damage +20%","PartialRuntimeSupport","c-frost-field.md trait 5; damage supported"
"eve-c-master-1","eve","eve-c","ActiveMaster","0","Absolute Zero Zone","Immediately freeze enemies with 4+ chill stacks, freeze duration +1.5s","DataOnlyUnsupported","c-frost-field.md master Absolute Zero Zone; chill threshold/freeze fields are not supported yet."
"eve-c-master-2","eve","eve-c","ActiveMaster","1","Crystal Storm","At field end, deal 24 + spell * 1.5 ice damage in area","DataOnlyUnsupported","c-frost-field.md master Crystal Storm; end explosion formula fields are not supported yet."
"eve-d-trait-1","eve","eve-d","ActiveEnhancement","0","Trait 1","Radius +25%, explosion radius +15%","PartialRuntimeSupport","d-static-override.md trait 1; cast radius supported"
"eve-d-trait-2","eve","eve-d","ActiveEnhancement","1","Trait 2","Damage per shock stack +15%p","DataOnlyUnsupported","d-static-override.md trait 2; per-stack damage bonus has no modifier column yet."
"eve-d-trait-3","eve","eve-d","ActiveEnhancement","2","Trait 3","Cooldown -20%, damage +15%","PartialRuntimeSupport","d-static-override.md trait 3; damage supported"
"eve-d-trait-4","eve","eve-d","ActiveEnhancement","3","Trait 4","After explosion, add 1 shock stack","ReferenceDirect","d-static-override.md trait 4."
"eve-d-trait-5","eve","eve-d","ActiveEnhancement","4","Trait 5","Explosion damage +50% against targets with 3+ shock stacks","DataOnlyUnsupported","d-static-override.md trait 5; conditional damage has no modifier condition field yet."
"eve-d-master-1","eve","eve-d","ActiveMaster","0","Chain Overload","If an enemy hit by explosion is shocked, cause one extra explosion at 50% damage","PartialRuntimeSupport","d-static-override.md master Chain Overload; stored in branch fields for future extra explosion behavior."
"eve-d-master-2","eve","eve-d","ActiveMaster","1","Electromagnetic Collapse","Explosion radius +40%, damage per shock stack +25%p, cooldown +20%","PartialRuntimeSupport","d-static-override.md master Electromagnetic Collapse; radius supported"
"eve-e-trait-1","eve","eve-e","ActiveEnhancement","0","Trait 1","Magazine +1, Plasma Field duration +20%","ReferenceDirect","e-drone-beacon.md trait 1."
"eve-e-trait-2","eve","eve-e","ActiveEnhancement","1","Trait 2","Attack period speed +25%, vulnerable stacks +1","DerivedFromReference","e-drone-beacon.md trait 2; attack speed stored as shot_interval_multiplier 0.8."
"eve-e-trait-3","eve","eve-e","ActiveEnhancement","2","Trait 3","Damage +30%","ReferenceDirect","e-drone-beacon.md trait 3."
"eve-e-trait-4","eve","eve-e","ActiveEnhancement","3","Trait 4","Reload speed +30%, simultaneous Plasma Fields +1","PartialRuntimeSupport","e-drone-beacon.md trait 4; reload speed supported"
"eve-e-trait-5","eve","eve-e","ActiveEnhancement","4","Trait 5","Lightning damage +40% against targets with 5+ vulnerable stacks","DataOnlyUnsupported","e-drone-beacon.md trait 5; conditional vulnerable damage has no modifier condition field yet."
"eve-e-master-1","eve","eve-e","ActiveMaster","0","Surveillance Drone Network","Simultaneous Plasma Fields +2, attack period speed +30%","PartialRuntimeSupport","e-drone-beacon.md master Surveillance Drone Network; count stored in branch_count for future behavior."
"eve-e-master-2","eve","eve-e","ActiveMaster","1","Weakness Lock","Vulnerable max stacks +5, +1% critical damage taken per vulnerable stack","DataOnlyUnsupported","e-drone-beacon.md master Weakness Lock; vulnerable stack cap and crit damage taken are unsupported by current modifier schema."
"eve-f-trait-1","eve","eve-f","PassiveEnhancement","0","Trait 1","Shield value +40%","DataOnlyUnsupported","f-voltage-calibration.md trait 1; shield value modifier is not supported by current schema."
"eve-f-trait-2","eve","eve-f","PassiveEnhancement","1","Trait 2","All allies damage to shocked targets +6%","DataOnlyUnsupported","f-voltage-calibration.md trait 2; passive conditional damage layer is not implemented in current InGame executor."
"eve-f-trait-3","eve","eve-f","PassiveEnhancement","2","Trait 3","While shield remains, target action speed +12%","DataOnlyUnsupported","f-voltage-calibration.md trait 3; action speed while shielded is unsupported by current schema."
