"path","line","declaration"
"Pakuri/Assets/Scripts/NewCore/Combat/Actions/EnemyActionController.cs","10","public sealed class EnemyActionController : UnitActionController"
"Pakuri/Assets/Scripts/NewCore/Combat/Actions/EnemyActionController.cs","18","public EnemyActionController("
"Pakuri/Assets/Scripts/NewCore/Combat/Actions/EnemyActionController.cs","44","public EnemyModel Enemy { get; }"
"Pakuri/Assets/Scripts/NewCore/Combat/Actions/EnemyActionController.cs","46","public bool IsComplete =>"
"Pakuri/Assets/Scripts/NewCore/Combat/Actions/EnemyActionController.cs","49","public void Tick(float deltaTime, IReadOnlyList<UnitBaseModel> registeredUnits)"
"Pakuri/Assets/Scripts/NewCore/Combat/Actions/InGameActionManager.cs","10","public enum CombatTickStep"
"Pakuri/Assets/Scripts/NewCore/Combat/Actions/InGameActionManager.cs","22","public sealed class InGameActionManager"
"Pakuri/Assets/Scripts/NewCore/Combat/Actions/InGameActionManager.cs","38","public InGameActionManager("
"Pakuri/Assets/Scripts/NewCore/Combat/Actions/InGameActionManager.cs","62","public event Action<CombatTickStep> StepCompleted;"
"Pakuri/Assets/Scripts/NewCore/Combat/Actions/InGameActionManager.cs","64","public void RegisterMonster(MonsterActionController controller, bool selected)"
"Pakuri/Assets/Scripts/NewCore/Combat/Actions/InGameActionManager.cs","91","public void RegisterEnemy(EnemyActionController controller)"
"Pakuri/Assets/Scripts/NewCore/Combat/Actions/InGameActionManager.cs","106","public void Tick(float deltaTime)"
"Pakuri/Assets/Scripts/NewCore/Combat/Actions/InGameActionManager.cs","187","public void BeginOrExtendCombat("
"Pakuri/Assets/Scripts/NewCore/Combat/Actions/InGameActionManager.cs","207","public void EndCombat()"
"Pakuri/Assets/Scripts/NewCore/Combat/Actions/MonsterActionController.cs","8","public sealed class MonsterActionController : UnitActionController"
"Pakuri/Assets/Scripts/NewCore/Combat/Actions/MonsterActionController.cs","10","public MonsterActionController("
"Pakuri/Assets/Scripts/NewCore/Combat/Actions/MonsterActionController.cs","18","public MonsterModel Monster { get; }"
"Pakuri/Assets/Scripts/NewCore/Combat/Actions/MonsterActionController.cs","20","public bool TickAutomatic(IReadOnlyList<UnitBaseModel> registeredUnits)"
"Pakuri/Assets/Scripts/NewCore/Combat/Actions/MonsterActionController.cs","42","public bool TryExecuteManual("
"Pakuri/Assets/Scripts/NewCore/Combat/Actions/MonsterActionController.cs","62","public bool CanExecuteManual("
"Pakuri/Assets/Scripts/NewCore/Combat/Actions/PlayerInputController.cs","8","public enum ManualInputPhase"
"Pakuri/Assets/Scripts/NewCore/Combat/Actions/PlayerInputController.cs","15","public sealed class PlayerInputController"
"Pakuri/Assets/Scripts/NewCore/Combat/Actions/PlayerInputController.cs","23","public MonsterModel SelectedMonster => selectedController?.Monster;"
"Pakuri/Assets/Scripts/NewCore/Combat/Actions/PlayerInputController.cs","25","public int PendingRequestCount => pending.Count;"
"Pakuri/Assets/Scripts/NewCore/Combat/Actions/PlayerInputController.cs","27","public void Select(MonsterActionController controller)"
"Pakuri/Assets/Scripts/NewCore/Combat/Actions/PlayerInputController.cs","36","public void SetAutoSkillEnabled(bool enabled)"
"Pakuri/Assets/Scripts/NewCore/Combat/Actions/PlayerInputController.cs","50","public void BeginManualFrame()"
"Pakuri/Assets/Scripts/NewCore/Combat/Actions/PlayerInputController.cs","55","public bool SubmitManualSkillRequest("
"Pakuri/Assets/Scripts/NewCore/Combat/Actions/PlayerInputController.cs","89","public bool ContinueProjectileBurst(SkillDefinition skill)"
"Pakuri/Assets/Scripts/NewCore/Combat/Actions/PlayerInputController.cs","108","public bool Process(IReadOnlyList<UnitBaseModel> registeredUnits)"
"Pakuri/Assets/Scripts/NewCore/Combat/Actions/PlayerInputController.cs","132","public void ResetCombatInput()"
"Pakuri/Assets/Scripts/NewCore/Combat/Actions/PlayerInputController.cs","141","public ManualSkillRequest("
"Pakuri/Assets/Scripts/NewCore/Combat/Actions/PlayerInputController.cs","151","public SkillDefinition Skill { get; }"
"Pakuri/Assets/Scripts/NewCore/Combat/Actions/PlayerInputController.cs","153","public CombatVector2 AimDirection { get; }"
