"asset_path","sha256","reference_count"
"Pakuri/Assets/Legacy/Skill 1/Ariel/Airel_A.prefab","ff10466a9619a0dd4970a4fd7dbeed995c1a1e07f49f57ecba51710d59ced25c","1"
"Pakuri/Assets/Legacy/Skill 1/Eve/Eve_A.prefab","88b1e3eff09816cd96376d71e625c05f35a925565a981efbf77325a3d1c5f506","1"
"Pakuri/Assets/Prefab/Enemy/Stage1/Stage1_Achor.prefab","886ee8b34894968ab447572492d6cad951a6c11bf44b2289326bda1eeca66038","1"
"Pakuri/Assets/Prefab/Enemy/Stage1/Stage1_Karin.prefab","32aa47353f3fa1af077b0806142d5cc3e04719eac29012dab9529e72b7544e12","1"
"Pakuri/Assets/Prefab/Enemy/Stage1/Stage1_Priest_Unit.prefab","70e3a0863d5cafcad8ffc067d95bff74410e940f098292af0a77e05e82ca6a39","1"
"Pakuri/Assets/Prefab/Enemy/Stage1/Stage1_Rogue_Unit.prefab","5e7e151180dbdc4417600e7fccc49b83162e820a43fbb8627af4283f83cbf81d","1"
"Pakuri/Assets/Prefab/Enemy/Stage1/Stage1_Shield.prefab","befeb263a3b52d8bf1f29d85c240664a86c50966ff01f2de7ed89a139b3da0ec","1"
"Pakuri/Assets/Prefab/Enemy/Stage1/Stage1_ShieldKing.prefab","4a2ac31a647ced8f31be5a69be904169225e46765892dc11b1505a93dc4df5a0","1"
"Pakuri/Assets/Prefab/Enemy/Stage1/Stage1_Warrior_King.prefab","c5cb22ce0f03cc24c591c785f30d120fc13649c6868880f09da2017501c5a063","1"
"Pakuri/Assets/Prefab/Enemy/Stage1/Stage1_Warrior_Unit.prefab","6220d12a5a97b0342fe8eee7585a3c65b6bf13f74f9527c9184c4268a6601bb1","1"
"Pakuri/Assets/Prefab/Enemy/Stage2/stage2-arsen.prefab","88eeda9e4ebca255b4c25bd8d1e4b0afcc42f322e211f171c88687abf0caee53","1"
"Pakuri/Assets/Prefab/Enemy/Stage2/stage2-dark-assassin.prefab","f5f6b22ff14d1f637d94ae8e6e8bcade19cc2bc565ca2d6b6294498b5226d912","1"
"Pakuri/Assets/Prefab/Enemy/Stage2/stage2-drake.prefab","69f25b3b7d95a10abaa0ae4e852cf0e069f5387e77aaf289ec6ed1930490ea06","1"
"Pakuri/Assets/Prefab/Enemy/Stage2/stage2-ethan.prefab","50454231d07a3ce363d09d7630a6960419533a47578066bdb2732bb5aa399d45","1"
"Pakuri/Assets/Prefab/Enemy/Stage2/stage2-fire-dragon-slayer.prefab","25f58780afc757712d4884a22a0931d1f47ae89bc69487bf1fdc3ef8990c0b7d","1"
"Pakuri/Assets/Prefab/Enemy/Stage2/stage2-holy-priest.prefab","a1484ea9450a9ae08d067cf3579dc263a85dcb88313294da7c707a4d10363deb","1"
"Pakuri/Assets/Prefab/Enemy/Stage2/stage2-ice-guard.prefab","87a23ca8288f15e0508db8196154beeb85ad65beb5004ba051efb0c40b3e2ed3","1"
"Pakuri/Assets/Prefab/Enemy/Stage2/stage2-lightning-scout.prefab","67dfac20a4b91f0efcfe1598d63d46b837e169c6ec123f29652b2aa5f509f31e","1"
"Pakuri/Assets/Prefab/Monster/Ariel_Unit.prefab","108e8ca7e8b5349acc111d77297d2ffb7d113ca8d95bd76cfd5b1520c2dee2a0","2"
"Pakuri/Assets/Prefab/Monster/Eve_Unit.prefab","a6f7d2d1f73c7e95fd0d1f1523a2a0ae0c0edb8039d428fe9d2c5f937748dc0a","2"
"Pakuri/Assets/Prefab/Monster/Rin_Unit.prefab","51a4471b059dbbf2ed52d03670732507151cd31c79269550b09ec048a698508c","2"
"Pakuri/Assets/Prefab/Monster/Sein_Unit.prefab","e006edbd607b6a9a7c44a4e8618740e209a64c76574253aba3a15459f975a20a","2"
"Pakuri/Assets/Prefab/Monster/Vega_Unit.prefab","9ad298bed443fa56c2b279cfc9cbb3347b4483f70800a97f075b9e6978ccbea2","2"
"Pakuri/Assets/Resources/Pakuri/NewCore/RunStartSelection.asset","5eaee5d04fa9581a0699c74fbe31deaf746eb9c3b05dcc42419deb21f25ed6df","1"
"Pakuri/Assets/Resources/Pakuri/NewCore/RuntimeCatalog.asset","6dea2672aaa1d8c935bf729dc0a3ef10112af447172e9b27aff9ffcc38f9953a","1"
"Pakuri/Assets/Scenes/NewScene/NewMainMenu.unity","2f91132e0bc5550878818c6121bacbfdb1544277fc52708f9cc32bbd1644261e","1"
"Pakuri/Assets/Scenes/NewScene/NewRunScene.unity","2006d5dda23054932a6ae4bd439114ba63e9690e54e73ba12f53eb142241f96d","12"
