"asset_path","line","guid","script_path","yaml_line"
"Pakuri/Assets/Resources/Pakuri/NewCore/RuntimeCatalog.asset","12","6d9b293472613b242b8a3c359d02a496","Pakuri/Assets/Scripts/NewCore/Presentation/Assets/NewCoreRuntimeCatalogAsset.cs","m_Script: {fileID: 11500000, guid: 6d9b293472613b242b8a3c359d02a496, type: 3}"
"Pakuri/Assets/Resources/Pakuri/NewCore/RunStartSelection.asset","12","da22dc09447e20c4ea34d3d04f395c38","Pakuri/Assets/Scripts/NewCore/Presentation/Assets/RunStartSelectionAsset.cs","m_Script: {fileID: 11500000, guid: da22dc09447e20c4ea34d3d04f395c38, type: 3}"
"Pakuri/Assets/Prefab/Monster/Vega_Unit.prefab","236","563a47fcaccf140499efb7f222c0c006","Pakuri/Assets/Scripts/NewCore/Presentation/Actors/MonsterActorBehaviour.cs","m_Script: {fileID: 11500000, guid: 563a47fcaccf140499efb7f222c0c006, type: 3}"
"Pakuri/Assets/Prefab/Monster/Vega_Unit.prefab","317","ac027aa8c5506d5488ec4c797833239d","Pakuri/Assets/Scripts/NewCore/Presentation/Actors/MonsterAnimationBehaviour.cs","m_Script: {fileID: 11500000, guid: ac027aa8c5506d5488ec4c797833239d, type: 3}"
"Pakuri/Assets/Prefab/Monster/Sein_Unit.prefab","236","563a47fcaccf140499efb7f222c0c006","Pakuri/Assets/Scripts/NewCore/Presentation/Actors/MonsterActorBehaviour.cs","m_Script: {fileID: 11500000, guid: 563a47fcaccf140499efb7f222c0c006, type: 3}"
"Pakuri/Assets/Prefab/Monster/Sein_Unit.prefab","317","ac027aa8c5506d5488ec4c797833239d","Pakuri/Assets/Scripts/NewCore/Presentation/Actors/MonsterAnimationBehaviour.cs","m_Script: {fileID: 11500000, guid: ac027aa8c5506d5488ec4c797833239d, type: 3}"
"Pakuri/Assets/Prefab/Monster/Rin_Unit.prefab","410","563a47fcaccf140499efb7f222c0c006","Pakuri/Assets/Scripts/NewCore/Presentation/Actors/MonsterActorBehaviour.cs","m_Script: {fileID: 11500000, guid: 563a47fcaccf140499efb7f222c0c006, type: 3}"
"Pakuri/Assets/Prefab/Monster/Rin_Unit.prefab","445","ac027aa8c5506d5488ec4c797833239d","Pakuri/Assets/Scripts/NewCore/Presentation/Actors/MonsterAnimationBehaviour.cs","m_Script: {fileID: 11500000, guid: ac027aa8c5506d5488ec4c797833239d, type: 3}"
"Pakuri/Assets/Prefab/Enemy/Stage2/stage2-lightning-scout.prefab","132","c82c4da6aacba674f864c62da59bf109","Pakuri/Assets/Scripts/NewCore/Presentation/Actors/EnemyActorBehaviour.cs","m_Script: {fileID: 11500000, guid: c82c4da6aacba674f864c62da59bf109, type: 3}"
"Pakuri/Assets/Prefab/Monster/Eve_Unit.prefab","340","563a47fcaccf140499efb7f222c0c006","Pakuri/Assets/Scripts/NewCore/Presentation/Actors/MonsterActorBehaviour.cs","m_Script: {fileID: 11500000, guid: 563a47fcaccf140499efb7f222c0c006, type: 3}"
"Pakuri/Assets/Prefab/Monster/Eve_Unit.prefab","421","ac027aa8c5506d5488ec4c797833239d","Pakuri/Assets/Scripts/NewCore/Presentation/Actors/MonsterAnimationBehaviour.cs","m_Script: {fileID: 11500000, guid: ac027aa8c5506d5488ec4c797833239d, type: 3}"
"Pakuri/Assets/Prefab/Enemy/Stage2/stage2-ice-guard.prefab","498","c82c4da6aacba674f864c62da59bf109","Pakuri/Assets/Scripts/NewCore/Presentation/Actors/EnemyActorBehaviour.cs","m_Script: {fileID: 11500000, guid: c82c4da6aacba674f864c62da59bf109, type: 3}"
"Pakuri/Assets/Prefab/Monster/Ariel_Unit.prefab","444","563a47fcaccf140499efb7f222c0c006","Pakuri/Assets/Scripts/NewCore/Presentation/Actors/MonsterActorBehaviour.cs","m_Script: {fileID: 11500000, guid: 563a47fcaccf140499efb7f222c0c006, type: 3}"
"Pakuri/Assets/Prefab/Monster/Ariel_Unit.prefab","525","ac027aa8c5506d5488ec4c797833239d","Pakuri/Assets/Scripts/NewCore/Presentation/Actors/MonsterAnimationBehaviour.cs","m_Script: {fileID: 11500000, guid: ac027aa8c5506d5488ec4c797833239d, type: 3}"
"Pakuri/Assets/Prefab/Enemy/Stage2/stage2-holy-priest.prefab","465","c82c4da6aacba674f864c62da59bf109","Pakuri/Assets/Scripts/NewCore/Presentation/Actors/EnemyActorBehaviour.cs","m_Script: {fileID: 11500000, guid: c82c4da6aacba674f864c62da59bf109, type: 3}"
"Pakuri/Assets/Prefab/Enemy/Stage2/stage2-fire-dragon-slayer.prefab","498","c82c4da6aacba674f864c62da59bf109","Pakuri/Assets/Scripts/NewCore/Presentation/Actors/EnemyActorBehaviour.cs","m_Script: {fileID: 11500000, guid: c82c4da6aacba674f864c62da59bf109, type: 3}"
